patch_cycle,server_id,kb_or_advisory,severity,deployment_ring,result,installed_at,reboot_required,exception_id
2026-05,SRV-060,KB5085955,Critical,Ring-0,Installed,2026-05-10T22:00,No,
2026-06,SRV-001,KB5060617,Critical,Ring-1,Installed,2026-06-19T22:00,No,
2026-06,SRV-002,KB5010420,Moderate,Ring-0,Installed,2026-06-12T22:00,No,
2026-06,SRV-003,KB5085494,Critical,Ring-2,Installed,2026-06-22T22:00,Yes,
2026-06,SRV-004,KB5073407,Moderate,Ring-2,Installed,2026-06-10T22:00,No,
2026-06,SRV-005,KB5062236,Critical,Ring-0,Installed,2026-06-12T22:00,No,
2026-06,SRV-006,KB5091397,Critical,Ring-1,Pending Reboot,2026-06-15T22:00,Yes,
2026-06,SRV-007,KB5044315,Critical,Ring-2,Installed,2026-06-19T22:00,Yes,
2026-06,SRV-008,KB5089279,Important,Ring-2,Installed,2026-06-14T22:00,Yes,
2026-06,SRV-009,KB5033083,Critical,Ring-2,Installed,2026-06-18T22:00,Yes,
2026-06,SRV-010,KB5099180,Moderate,Ring-1,Installed,2026-06-19T22:00,No,
2026-06,SRV-011,KB5083258,Critical,Ring-1,Installed,2026-06-16T22:00,Yes,
2026-06,SRV-012,KB5080965,Important,Ring-1,Installed,2026-06-15T22:00,No,
2026-06,SRV-013,KB5020257,Moderate,Ring-1,Installed,2026-06-19T22:00,Yes,
2026-06,SRV-014,KB5042198,Critical,Ring-0,Installed,2026-06-16T22:00,No,
2026-06,SRV-015,KB5016973,Moderate,Ring-2,Installed,2026-06-10T22:00,No,
2026-06,SRV-016,KB5050440,Important,Ring-2,Installed,2026-06-16T22:00,Yes,
2026-06,SRV-017,KB5001753,Moderate,Ring-0,Installed,2026-06-10T22:00,Yes,
2026-06,SRV-018,KB5087703,Critical,Ring-1,Installed,2026-06-18T22:00,No,
2026-06,SRV-019,KB5000907,Moderate,Ring-1,Installed,2026-06-13T22:00,Yes,
2026-06,SRV-020,KB5025574,Important,Ring-1,Installed,2026-06-18T22:00,Yes,
2026-06,SRV-021,KB5068667,Moderate,Ring-0,Pending Reboot,2026-06-17T22:00,No,
2026-06,SRV-022,KB5085936,Moderate,Ring-0,Installed,2026-06-12T22:00,Yes,
2026-06,SRV-023,KB5024986,Critical,Ring-2,Installed,2026-06-17T22:00,Yes,
2026-06,SRV-024,KB5071092,Critical,Ring-1,Pending Reboot,2026-06-22T22:00,Yes,
2026-06,SRV-025,KB5021797,Critical,Ring-1,Installed,2026-06-21T22:00,No,
2026-06,SRV-026,KB5084874,Important,Ring-1,Installed,2026-06-12T22:00,Yes,
2026-06,SRV-027,KB5045665,Moderate,Ring-2,Installed,2026-06-11T22:00,No,
2026-06,SRV-028,KB5007799,Important,Ring-0,Pending Reboot,2026-06-10T22:00,No,
2026-06,SRV-029,KB5016631,Important,Ring-0,Installed,2026-06-21T22:00,Yes,
2026-06,SRV-030,KB5091034,Moderate,Ring-1,Installed,2026-06-14T22:00,No,
2026-06,SRV-031,KB5086796,Moderate,Ring-2,Failed,2026-06-16T22:00,Yes,EXC-6031
2026-06,SRV-032,KB5031157,Important,Ring-2,Installed,2026-06-19T22:00,Yes,
2026-06,SRV-033,KB5026244,Moderate,Ring-1,Installed,2026-06-19T22:00,No,
2026-06,SRV-034,KB5070858,Important,Ring-1,Installed,2026-06-20T22:00,No,
2026-06,SRV-035,KB5046025,Moderate,Ring-2,Installed,2026-06-11T22:00,Yes,
2026-06,SRV-036,KB5097841,Critical,Ring-1,Installed,2026-06-13T22:00,Yes,
2026-06,SRV-037,KB5066080,Important,Ring-0,Installed,2026-06-17T22:00,No,
2026-06,SRV-038,KB5067562,Moderate,Ring-2,Installed,2026-06-13T22:00,Yes,
2026-06,SRV-039,KB5084887,Moderate,Ring-1,Installed,2026-06-19T22:00,Yes,
2026-06,SRV-040,KB5086849,Moderate,Ring-2,Installed,2026-06-10T22:00,Yes,
2026-06,SRV-041,KB5072756,Important,Ring-1,Failed,2026-06-15T22:00,Yes,EXC-6041
2026-06,SRV-042,KB5019606,Moderate,Ring-0,Installed,2026-06-16T22:00,Yes,
2026-06,SRV-043,KB5078833,Moderate,Ring-0,Installed,2026-06-22T22:00,Yes,
2026-06,SRV-044,KB5088671,Moderate,Ring-2,Installed,2026-06-14T22:00,Yes,
2026-06,SRV-045,KB5042958,Moderate,Ring-2,Installed,2026-06-20T22:00,Yes,
2026-06,SRV-046,KB5060843,Moderate,Ring-1,Installed,2026-06-22T22:00,No,
2026-06,SRV-047,KB5095760,Moderate,Ring-2,Installed,2026-06-11T22:00,Yes,
2026-06,SRV-048,KB5070963,Critical,Ring-2,Installed,2026-06-22T22:00,Yes,
2026-06,SRV-049,KB5015858,Important,Ring-1,Failed,2026-06-20T22:00,Yes,EXC-6049
2026-06,SRV-050,KB5067644,Important,Ring-2,Installed,2026-06-18T22:00,No,
2026-06,SRV-051,KB5033746,Critical,Ring-2,Installed,2026-06-10T22:00,No,
2026-06,SRV-052,KB5024097,Moderate,Ring-1,Installed,2026-06-22T22:00,Yes,
2026-06,SRV-053,KB5096340,Moderate,Ring-0,Installed,2026-06-10T22:00,No,
2026-06,SRV-054,KB5024300,Critical,Ring-0,Installed,2026-06-10T22:00,No,
2026-06,SRV-055,KB5046595,Important,Ring-0,Installed,2026-06-22T22:00,Yes,
2026-06,SRV-056,KB5065239,Important,Ring-2,Installed,2026-06-13T22:00,No,
2026-06,SRV-057,KB5042179,Important,Ring-2,Installed,2026-06-15T22:00,No,
2026-06,SRV-058,KB5080859,Critical,Ring-1,Installed,2026-06-15T22:00,Yes,
2026-06,SRV-059,KB5091422,Important,Ring-1,Installed,2026-06-20T22:00,Yes,
2026-06,SRV-060,KB5090121,Moderate,Ring-0,Installed,2026-06-14T22:00,Yes,
