asset_id,asset_type,manufacturer,model,serial_number,assigned_user_id,location,operating_system,encryption_status,intune_compliance,purchase_date,warranty_end,lifecycle_status
AST-00175,Laptop,Lenovo,EliteBook 840,NS202400175,U0024,Remote-US,Windows 11 24H2,Encrypted,Compliant,2024-11-24,2026-11-03,In Service
AST-00176,Desktop,Apple,Surface Laptop 6,NS202400176,U0104,Charlotte-NC,Windows 11 23H2,Encrypted,Compliant,2024-04-18,2026-04-15,In Service
AST-00177,Laptop,Lenovo,MacBook Air M3,NS202400177,U0034,Richmond-VA,Windows 11 23H2,Encrypted,Compliant,2024-08-19,2027-08-24,In Service
AST-00178,Mobile,Lenovo,MacBook Air M3,NS202400178,U0017,Charlotte-NC,iOS 18,Encrypted,Compliant,2025-05-17,2028-04-29,In Service
AST-00179,Laptop,Microsoft,MacBook Air M3,NS202400179,U0044,Remote-US,Windows 11 24H2,Encrypted,Noncompliant,2023-01-31,2027-01-27,Spare
AST-00180,Laptop,HP,MacBook Air M3,NS202400180,U0071,Charlotte-NC,Windows 11 23H2,Encrypted,Compliant,2024-09-20,2027-09-27,Repair
AST-00181,Laptop,Microsoft,MacBook Air M3,NS202400181,U0106,Raleigh-NC,Windows 11 24H2,Encrypted,Compliant,2023-10-14,2027-01-28,In Service
AST-00182,Laptop,Microsoft,Latitude 5450,NS202400182,U0162,Remote-US,macOS 15,Encrypted,Compliant,2024-05-06,2027-07-12,Spare
AST-00183,Laptop,HP,ThinkPad T14,NS202400183,U0100,Raleigh-NC,macOS 15,Encrypted,Compliant,2024-09-03,2026-08-13,In Service
AST-00184,Mobile,Apple,Surface Laptop 6,NS202400184,U0208,Richmond-VA,iOS 18,Encrypted,Compliant,2023-06-13,2026-04-13,In Service
AST-00185,Desktop,Lenovo,Surface Laptop 6,NS202400185,U0196,Remote-US,Windows 11 23H2,Encrypted,Compliant,2025-05-09,2028-05-15,In Service
AST-00186,Laptop,HP,Surface Laptop 6,NS202400186,U0207,Raleigh-NC,macOS 15,Encrypted,Compliant,2024-08-04,2027-08-01,In Service
AST-00187,Laptop,HP,ThinkPad T14,NS202400187,U0139,Remote-US,Windows 11 23H2,Encrypted,Compliant,2023-04-03,2026-02-27,In Service
AST-00188,Laptop,HP,Surface Laptop 6,NS202400188,U0001,Charlotte-NC,Windows 11 23H2,Encrypted,Compliant,2023-12-15,2028-01-05,In Service
AST-00189,Mobile,Lenovo,Surface Laptop 6,NS202400189,U0006,Charlotte-NC,iOS 18,Encrypted,Compliant,2025-05-16,2027-06-23,In Service
AST-00190,Printer,Microsoft,Latitude 5450,NS202400190,,Richmond-VA,Embedded,Not Applicable,Not Managed,2023-11-06,2026-11-27,In Service
AST-00191,Printer,Apple,EliteBook 840,NS202400191,,Charlotte-NC,Embedded,Not Applicable,Not Managed,2024-12-25,2028-09-18,Repair
AST-00192,Desktop,Microsoft,ThinkPad T14,NS202400192,U0058,Remote-US,Windows 11 23H2,Encrypted,Compliant,2025-01-21,2027-12-07,In Service
AST-00193,Laptop,Microsoft,MacBook Air M3,NS202400193,U0180,Raleigh-NC,macOS 15,Encrypted,Compliant,2024-09-08,2026-11-22,Repair
AST-00194,Laptop,Lenovo,EliteBook 840,NS202400194,U0128,Raleigh-NC,macOS 15,Encrypted,Compliant,2023-12-22,2026-11-24,In Service
AST-00195,Laptop,Dell,EliteBook 840,NS202400195,U0115,Charlotte-NC,Windows 11 23H2,Encrypted,Compliant,2024-12-10,2026-03-11,In Service
AST-00196,Laptop,Apple,MacBook Air M3,NS202400196,U0013,Remote-US,Windows 11 23H2,Encrypted,Compliant,2024-02-28,2027-05-20,Spare
AST-00197,Laptop,Apple,Surface Laptop 6,NS202400197,U0213,Charlotte-NC,Windows 11 24H2,Encrypted,Compliant,2024-04-07,2026-03-17,In Service
AST-00198,Laptop,Dell,EliteBook 840,NS202400198,U0027,Charlotte-NC,Windows 11 24H2,Encrypted,Noncompliant,2023-06-14,2028-01-20,In Service
AST-00199,Laptop,Microsoft,MacBook Air M3,NS202400199,U0153,Raleigh-NC,Windows 11 23H2,Encrypted,Noncompliant,2024-10-31,2026-06-18,Repair
AST-00200,Mobile,HP,ThinkPad T14,NS202400200,U0026,Charlotte-NC,iOS 18,Encrypted,Noncompliant,2024-12-14,2027-07-22,Repair
AST-00201,Laptop,Dell,Latitude 5450,NS202400201,U0061,Remote-US,Windows 11 24H2,Encrypted,Noncompliant,2023-06-07,2026-02-25,In Service
AST-00202,Laptop,Microsoft,MacBook Air M3,NS202400202,U0211,Charlotte-NC,Windows 11 23H2,Encrypted,Compliant,2023-01-27,2026-07-31,In Service
AST-00203,Laptop,Dell,EliteBook 840,NS202400203,U0217,Remote-US,Windows 11 23H2,Encrypted,Noncompliant,2024-05-15,2028-07-05,In Service
AST-00204,Laptop,HP,MacBook Air M3,NS202400204,U0048,Richmond-VA,macOS 15,Encrypted,Compliant,2024-04-01,2026-02-15,In Service
AST-00205,Laptop,HP,Surface Laptop 6,NS202400205,U0215,Raleigh-NC,Windows 11 24H2,Encrypted,Compliant,2025-02-09,2027-12-15,In Service
AST-00206,Laptop,Microsoft,ThinkPad T14,NS202400206,U0194,Raleigh-NC,Windows 11 24H2,Encrypted,Noncompliant,2025-04-18,2027-06-20,Spare
AST-00207,Printer,Microsoft,ThinkPad T14,NS202400207,,Remote-US,Embedded,Not Applicable,Not Managed,2023-11-03,2026-03-22,Spare
AST-00208,Mobile,Microsoft,Surface Laptop 6,NS202400208,U0129,Charlotte-NC,iOS 18,Encrypted,Compliant,2025-02-14,2027-04-05,In Service
AST-00209,Mobile,Lenovo,ThinkPad T14,NS202400209,U0207,Raleigh-NC,iOS 18,Encrypted,Noncompliant,2023-03-22,2027-12-01,Spare
AST-00210,Laptop,Microsoft,EliteBook 840,NS202400210,U0214,Richmond-VA,macOS 15,Encrypted,Compliant,2023-03-31,2027-02-02,Repair
AST-00211,Laptop,Apple,Latitude 5450,NS202400211,U0134,Remote-US,Windows 11 24H2,Encrypted,Compliant,2024-02-29,2026-06-03,In Service
AST-00212,Laptop,Dell,Surface Laptop 6,NS202400212,U0237,Raleigh-NC,macOS 15,Encrypted,Compliant,2025-06-07,2027-07-03,In Service
AST-00213,Mobile,Apple,Surface Laptop 6,NS202400213,U0168,Remote-US,Android 15,Encrypted,Compliant,2023-06-26,2026-10-10,Spare
AST-00214,Laptop,Apple,EliteBook 840,NS202400214,U0010,Charlotte-NC,macOS 15,Encrypted,Compliant,2025-02-02,2027-05-02,In Service
AST-00215,Mobile,HP,EliteBook 840,NS202400215,U0210,Richmond-VA,Android 15,Encrypted,Noncompliant,2025-05-28,2027-12-14,In Service
AST-00216,Printer,HP,MacBook Air M3,NS202400216,,Richmond-VA,Embedded,Not Applicable,Not Managed,2023-10-03,2028-01-17,Spare
AST-00217,Laptop,Lenovo,MacBook Air M3,NS202400217,U0114,Remote-US,Windows 11 23H2,Encrypted,Compliant,2025-04-20,2026-02-27,Repair
AST-00218,Desktop,Microsoft,MacBook Air M3,NS202400218,U0182,Charlotte-NC,Windows 11 23H2,Encrypted,Compliant,2023-06-27,2026-07-17,In Service
AST-00219,Desktop,Dell,EliteBook 840,NS202400219,U0117,Charlotte-NC,Windows 11 23H2,Encrypted,Compliant,2024-01-13,2028-04-23,Spare
AST-00220,Laptop,Dell,ThinkPad T14,NS202400220,U0175,Richmond-VA,macOS 15,Encrypted,Noncompliant,2024-08-31,2027-04-02,In Service
AST-00221,Printer,HP,ThinkPad T14,NS202400221,,Richmond-VA,Embedded,Not Applicable,Not Managed,2025-02-05,2028-04-30,In Service
AST-00222,Laptop,Microsoft,ThinkPad T14,NS202400222,U0042,Charlotte-NC,Windows 11 24H2,Encrypted,Compliant,2024-11-24,2026-07-31,In Service
AST-00223,Desktop,Dell,MacBook Air M3,NS202400223,U0222,Charlotte-NC,Windows 11 23H2,Encrypted,Compliant,2024-09-07,2028-03-31,In Service
AST-00224,Laptop,HP,MacBook Air M3,NS202400224,U0183,Remote-US,macOS 15,Encrypted,Compliant,2024-04-15,2026-09-16,In Service
AST-00225,Laptop,Dell,Latitude 5450,NS202400225,U0150,Richmond-VA,macOS 15,Encrypted,Compliant,2023-11-02,2027-12-02,In Service
AST-00226,Laptop,HP,EliteBook 840,NS202400226,U0164,Richmond-VA,Windows 11 24H2,Encrypted,Compliant,2023-07-12,2026-06-03,Repair
AST-00227,Desktop,HP,ThinkPad T14,NS202400227,U0170,Raleigh-NC,Windows 11 23H2,Encrypted,Noncompliant,2023-10-30,2026-09-23,Spare
AST-00228,Laptop,Microsoft,ThinkPad T14,NS202400228,U0150,Richmond-VA,macOS 15,Encrypted,Compliant,2024-12-03,2027-07-02,Spare
AST-00229,Mobile,HP,ThinkPad T14,NS202400229,U0130,Charlotte-NC,Android 15,Encrypted,Compliant,2023-04-10,2027-04-28,In Service
AST-00230,Desktop,HP,Latitude 5450,NS202400230,U0175,Charlotte-NC,Windows 11 23H2,Encrypted,Compliant,2023-08-17,2028-02-02,In Service
AST-00231,Laptop,Microsoft,EliteBook 840,NS202400231,U0067,Remote-US,Windows 11 24H2,Encrypted,Compliant,2024-04-26,2026-02-24,Repair
AST-00232,Laptop,Lenovo,Surface Laptop 6,NS202400232,U0121,Raleigh-NC,macOS 15,Encrypted,Noncompliant,2024-06-26,2026-11-02,Spare
AST-00233,Laptop,HP,MacBook Air M3,NS202400233,U0052,Remote-US,Windows 11 23H2,Encrypted,Compliant,2023-11-20,2028-06-02,In Service
AST-00234,Desktop,Lenovo,EliteBook 840,NS202400234,U0162,Raleigh-NC,Windows 11 23H2,Encrypted,Compliant,2024-04-07,2026-10-08,In Service
AST-00235,Desktop,Dell,ThinkPad T14,NS202400235,U0126,Remote-US,Windows 11 23H2,Encrypted,Noncompliant,2024-02-18,2027-03-16,Spare
AST-00236,Laptop,HP,Latitude 5450,NS202400236,U0188,Richmond-VA,Windows 11 23H2,Encrypted,Compliant,2023-01-19,2027-11-24,In Service
AST-00237,Laptop,HP,EliteBook 840,NS202400237,U0178,Charlotte-NC,Windows 11 23H2,Encrypted,Compliant,2024-01-28,2027-05-31,Repair
AST-00238,Laptop,HP,MacBook Air M3,NS202400238,U0077,Richmond-VA,Windows 11 23H2,Encrypted,Noncompliant,2024-12-04,2026-05-18,In Service
AST-00239,Printer,Lenovo,ThinkPad T14,NS202400239,,Remote-US,Embedded,Not Applicable,Not Managed,2023-01-20,2026-08-22,In Service
AST-00240,Desktop,Dell,Surface Laptop 6,NS202400240,U0188,Charlotte-NC,Windows 11 23H2,Encrypted,Compliant,2024-01-11,2027-12-30,In Service
AST-00241,Laptop,Microsoft,Surface Laptop 6,NS202400241,U0198,Raleigh-NC,macOS 15,Encrypted,Compliant,2024-11-08,2026-04-21,In Service
AST-00242,Laptop,Apple,Latitude 5450,NS202400242,U0114,Richmond-VA,Windows 11 23H2,Encrypted,Noncompliant,2024-12-19,2026-06-06,In Service
AST-00243,Desktop,Apple,Latitude 5450,NS202400243,U0078,Richmond-VA,Windows 11 23H2,Encrypted,Compliant,2024-03-04,2028-04-30,In Service
AST-00244,Laptop,Dell,Latitude 5450,NS202400244,U0073,Remote-US,macOS 15,Encrypted,Compliant,2024-09-15,2026-07-24,In Service
AST-00245,Desktop,Apple,EliteBook 840,NS202400245,U0181,Charlotte-NC,Windows 11 23H2,Encrypted,Compliant,2024-07-15,2027-05-24,In Service
AST-00246,Desktop,Dell,Latitude 5450,NS202400246,U0061,Raleigh-NC,Windows 11 23H2,Encrypted,Compliant,2025-05-05,2027-08-11,Spare
AST-00247,Laptop,Dell,EliteBook 840,NS202400247,U0186,Charlotte-NC,Windows 11 23H2,Encrypted,Noncompliant,2023-10-31,2026-09-28,Spare
AST-00248,Laptop,HP,EliteBook 840,NS202400248,U0219,Richmond-VA,Windows 11 23H2,Encrypted,Noncompliant,2025-01-26,2026-04-29,In Service
AST-00249,Mobile,Lenovo,ThinkPad T14,NS202400249,U0219,Richmond-VA,iOS 18,Encrypted,Compliant,2024-03-24,2028-09-05,Repair
AST-00250,Laptop,HP,ThinkPad T14,NS202400250,U0096,Raleigh-NC,macOS 15,Encrypted,Noncompliant,2024-02-14,2028-09-12,Spare
AST-00251,Laptop,Apple,ThinkPad T14,NS202400251,U0205,Raleigh-NC,Windows 11 24H2,Encrypted,Compliant,2024-12-13,2028-01-14,In Service
AST-00252,Printer,Apple,Surface Laptop 6,NS202400252,,Remote-US,Embedded,Not Applicable,Not Managed,2025-04-01,2027-08-06,Spare
AST-00253,Laptop,Dell,ThinkPad T14,NS202400253,U0157,Remote-US,Windows 11 24H2,Encrypted,Noncompliant,2023-04-26,2028-06-27,Spare
AST-00254,Laptop,HP,Latitude 5450,NS202400254,U0168,Charlotte-NC,Windows 11 23H2,Encrypted,Compliant,2024-06-15,2027-06-20,Repair
AST-00255,Laptop,HP,MacBook Air M3,NS202400255,U0124,Charlotte-NC,macOS 15,Encrypted,Compliant,2023-01-12,2027-10-21,In Service
AST-00256,Laptop,Lenovo,Latitude 5450,NS202400256,U0223,Remote-US,Windows 11 24H2,Encrypted,Compliant,2023-09-04,2026-12-05,In Service
AST-00257,Laptop,Lenovo,Latitude 5450,NS202400257,U0104,Remote-US,Windows 11 23H2,Encrypted,Noncompliant,2025-03-31,2027-08-10,Spare
AST-00258,Laptop,Dell,MacBook Air M3,NS202400258,U0081,Raleigh-NC,Windows 11 24H2,Encrypted,Compliant,2024-02-18,2027-02-27,In Service
AST-00259,Laptop,Microsoft,Surface Laptop 6,NS202400259,U0203,Richmond-VA,Windows 11 23H2,Encrypted,Compliant,2024-11-01,2027-11-19,Spare
AST-00260,Printer,Lenovo,MacBook Air M3,NS202400260,,Richmond-VA,Embedded,Not Applicable,Not Managed,2024-07-27,2028-02-25,Repair
AST-00261,Laptop,Apple,Latitude 5450,NS202400261,U0184,Raleigh-NC,macOS 15,Encrypted,Compliant,2023-01-03,2026-12-16,In Service
AST-00262,Desktop,Dell,Latitude 5450,NS202400262,U0180,Charlotte-NC,Windows 11 23H2,Encrypted,Noncompliant,2023-05-24,2028-04-21,Spare
AST-00263,Laptop,Dell,MacBook Air M3,NS202400263,U0049,Charlotte-NC,macOS 15,Encrypted,Noncompliant,2025-04-24,2028-03-11,In Service
AST-00264,Desktop,Microsoft,Latitude 5450,NS202400264,U0012,Remote-US,Windows 11 23H2,Encrypted,Noncompliant,2024-11-05,2027-08-27,Repair
AST-00265,Laptop,Dell,Surface Laptop 6,NS202400265,U0136,Remote-US,Windows 11 24H2,Encrypted,Noncompliant,2024-06-04,2028-03-10,In Service
AST-00266,Desktop,Apple,Surface Laptop 6,NS202400266,U0027,Richmond-VA,Windows 11 23H2,Encrypted,Noncompliant,2024-03-04,2027-09-16,In Service
AST-00267,Laptop,Lenovo,ThinkPad T14,NS202400267,U0116,Remote-US,Windows 11 24H2,Encrypted,Compliant,2025-05-13,2027-12-20,Repair
AST-00268,Mobile,Lenovo,Surface Laptop 6,NS202400268,U0052,Richmond-VA,iOS 18,Encrypted,Compliant,2024-11-19,2026-05-16,In Service
AST-00269,Laptop,Dell,EliteBook 840,NS202400269,U0182,Remote-US,macOS 15,Encrypted,Noncompliant,2024-11-21,2028-02-05,Repair
AST-00270,Laptop,Dell,Latitude 5450,NS202400270,U0134,Remote-US,Windows 11 24H2,Encrypted,Compliant,2023-02-24,2027-11-18,In Service
AST-00271,Laptop,HP,ThinkPad T14,NS202400271,U0175,Raleigh-NC,Windows 11 23H2,Encrypted,Compliant,2023-07-28,2028-02-11,Repair
AST-00272,Laptop,Microsoft,ThinkPad T14,NS202400272,U0158,Remote-US,Windows 11 24H2,Encrypted,Compliant,2024-06-07,2028-03-14,In Service
AST-00273,Desktop,Apple,EliteBook 840,NS202400273,U0100,Raleigh-NC,Windows 11 23H2,Encrypted,Compliant,2025-01-31,2026-09-15,In Service
AST-00274,Laptop,HP,Surface Laptop 6,NS202400274,U0234,Charlotte-NC,Windows 11 24H2,Encrypted,Compliant,2023-10-29,2027-04-05,In Service
AST-00275,Printer,Lenovo,Surface Laptop 6,NS202400275,,Raleigh-NC,Embedded,Not Applicable,Not Managed,2024-01-22,2026-02-11,Spare
AST-00276,Laptop,Microsoft,EliteBook 840,NS202400276,U0042,Raleigh-NC,Windows 11 24H2,Encrypted,Compliant,2024-04-22,2027-12-28,In Service
AST-00277,Laptop,Microsoft,EliteBook 840,NS202400277,U0199,Remote-US,Windows 11 24H2,Encrypted,Compliant,2023-03-16,2028-03-13,In Service
AST-00278,Laptop,Microsoft,ThinkPad T14,NS202400278,U0202,Remote-US,Windows 11 23H2,Encrypted,Noncompliant,2023-04-05,2026-12-24,In Service
AST-00279,Mobile,HP,EliteBook 840,NS202400279,U0085,Charlotte-NC,Android 15,Encrypted,Noncompliant,2024-07-28,2028-04-23,In Service
AST-00280,Laptop,Microsoft,Surface Laptop 6,NS202400280,U0062,Charlotte-NC,Windows 11 24H2,Encrypted,Compliant,2024-11-29,2028-06-25,In Service
AST-00281,Laptop,Microsoft,EliteBook 840,NS202400281,U0066,Raleigh-NC,Windows 11 23H2,Encrypted,Compliant,2024-06-10,2028-04-02,Repair
AST-00282,Laptop,Lenovo,EliteBook 840,NS202400282,U0230,Raleigh-NC,Windows 11 23H2,Encrypted,Compliant,2023-06-21,2028-09-21,Repair
AST-00283,Laptop,Lenovo,MacBook Air M3,NS202400283,U0054,Raleigh-NC,macOS 15,Encrypted,Compliant,2024-07-04,2028-04-28,Spare
AST-00284,Laptop,Apple,EliteBook 840,NS202400284,U0007,Raleigh-NC,Windows 11 23H2,Encrypted,Compliant,2023-03-17,2026-02-25,In Service
AST-00285,Desktop,Lenovo,EliteBook 840,NS202400285,U0148,Remote-US,Windows 11 23H2,Encrypted,Noncompliant,2024-04-06,2027-10-08,Spare
AST-00286,Laptop,Dell,Surface Laptop 6,NS202400286,U0173,Raleigh-NC,Windows 11 23H2,Encrypted,Compliant,2025-02-13,2028-02-03,Repair
AST-00287,Laptop,Microsoft,Latitude 5450,NS202400287,U0238,Richmond-VA,Windows 11 23H2,Encrypted,Compliant,2024-09-13,2026-03-30,In Service
AST-00288,Desktop,Dell,MacBook Air M3,NS202400288,U0102,Charlotte-NC,Windows 11 23H2,Encrypted,Compliant,2023-05-20,2028-02-04,Spare
AST-00289,Desktop,Lenovo,EliteBook 840,NS202400289,U0163,Richmond-VA,Windows 11 23H2,Encrypted,Compliant,2024-07-20,2028-06-14,Repair
AST-00290,Laptop,Microsoft,MacBook Air M3,NS202400290,U0147,Raleigh-NC,Windows 11 23H2,Encrypted,Compliant,2023-08-04,2028-02-06,In Service
AST-00291,Laptop,Lenovo,ThinkPad T14,NS202400291,U0042,Richmond-VA,macOS 15,Encrypted,Compliant,2023-04-28,2026-07-05,Repair
AST-00292,Mobile,Microsoft,Latitude 5450,NS202400292,U0166,Richmond-VA,Android 15,Encrypted,Compliant,2023-09-14,2026-04-11,In Service
AST-00293,Desktop,Lenovo,ThinkPad T14,NS202400293,U0092,Raleigh-NC,Windows 11 23H2,Encrypted,Compliant,2024-09-26,2026-03-13,In Service
AST-00294,Laptop,HP,Surface Laptop 6,NS202400294,U0158,Charlotte-NC,Windows 11 24H2,Encrypted,Compliant,2025-04-07,2026-11-20,Spare
AST-00295,Laptop,Lenovo,MacBook Air M3,NS202400295,U0202,Richmond-VA,Windows 11 24H2,Encrypted,Compliant,2023-05-18,2027-11-27,In Service
AST-00296,Mobile,HP,MacBook Air M3,NS202400296,U0092,Raleigh-NC,Android 15,Encrypted,Compliant,2024-10-23,2027-09-14,In Service
AST-00297,Desktop,Dell,Latitude 5450,NS202400297,U0068,Raleigh-NC,Windows 11 23H2,Encrypted,Compliant,2025-04-12,2027-08-19,Repair
AST-00298,Laptop,Dell,Surface Laptop 6,NS202400298,U0233,Richmond-VA,macOS 15,Encrypted,Noncompliant,2024-10-31,2028-03-04,In Service
AST-00299,Laptop,Apple,Surface Laptop 6,NS202400299,U0035,Raleigh-NC,Windows 11 23H2,Encrypted,Noncompliant,2024-01-08,2027-05-30,In Service
AST-00300,Desktop,Microsoft,ThinkPad T14,NS202400300,U0194,Remote-US,Windows 11 23H2,Encrypted,Compliant,2023-07-03,2027-08-03,Repair
