alert_id,opened_at,cloud,severity,resource_id,alert_name,ack_minutes,resolution_minutes,status
ALT-00298,2026-02-07T03:00:00,AWS,Critical,R-00020,High CPU,18,141,Closed
ALT-00299,2026-02-07T06:00:00,AWS,High,R-00447,Disk Full,8,202,Closed
ALT-00300,2026-02-07T09:00:00,AWS,High,R-00104,High CPU,1,73,Closed
ALT-00301,2026-02-07T12:00:00,Azure,High,R-00067,High CPU,23,178,Closed
ALT-00302,2026-02-07T15:00:00,Azure,High,R-00500,Disk Full,23,118,Closed
ALT-00303,2026-02-07T18:00:00,Azure,Low,R-00167,Health Check Failed,12,79,Closed
ALT-00304,2026-02-07T21:00:00,Azure,Medium,R-00038,High CPU,24,97,Closed
ALT-00305,2026-02-08T00:00:00,Azure,Critical,R-00475,Disk Full,24,226,Closed
ALT-00306,2026-02-08T03:00:00,AWS,High,R-00309,High CPU,1,126,Closed
ALT-00307,2026-02-08T06:00:00,Azure,Critical,R-00369,High CPU,15,206,Closed
ALT-00308,2026-02-08T09:00:00,AWS,Low,R-00395,Backup Failed,1,88,Closed
ALT-00309,2026-02-08T12:00:00,Azure,Medium,R-00030,High CPU,2,219,Closed
ALT-00310,2026-02-08T15:00:00,Azure,Medium,R-00241,Backup Failed,5,67,Closed
ALT-00311,2026-02-08T18:00:00,AWS,Critical,R-00381,Backup Failed,28,176,Closed
ALT-00312,2026-02-08T21:00:00,AWS,Medium,R-00107,Disk Full,6,64,Closed
ALT-00313,2026-02-09T00:00:00,Azure,Medium,R-00013,High CPU,26,185,Closed
ALT-00314,2026-02-09T03:00:00,Azure,Low,R-00431,Health Check Failed,25,226,Closed
ALT-00315,2026-02-09T06:00:00,Azure,High,R-00274,High CPU,7,236,Closed
ALT-00316,2026-02-09T09:00:00,Azure,Critical,R-00151,High CPU,8,220,Closed
ALT-00317,2026-02-09T12:00:00,AWS,Low,R-00211,High CPU,14,232,Closed
ALT-00318,2026-02-09T15:00:00,Azure,Critical,R-00368,Health Check Failed,16,225,Closed
ALT-00319,2026-02-09T18:00:00,AWS,Critical,R-00285,Backup Failed,26,174,Closed
ALT-00320,2026-02-09T21:00:00,AWS,Critical,R-00281,Disk Full,16,114,Closed
ALT-00321,2026-02-10T00:00:00,Azure,Critical,R-00392,Health Check Failed,10,150,Closed
ALT-00322,2026-02-10T03:00:00,AWS,Medium,R-00072,High CPU,17,14,Closed
ALT-00323,2026-02-10T06:00:00,AWS,High,R-00204,High CPU,23,144,Closed
ALT-00324,2026-02-10T09:00:00,AWS,High,R-00246,Disk Full,17,201,Closed
ALT-00325,2026-02-10T12:00:00,AWS,Low,R-00253,Disk Full,4,56,Closed
ALT-00326,2026-02-10T15:00:00,AWS,Medium,R-00108,High CPU,10,37,Closed
ALT-00327,2026-02-10T18:00:00,AWS,High,R-00215,Backup Failed,17,234,Closed
ALT-00328,2026-02-10T21:00:00,Azure,Low,R-00149,Backup Failed,20,174,Closed
ALT-00329,2026-02-11T00:00:00,Azure,Low,R-00227,Backup Failed,9,18,Closed
ALT-00330,2026-02-11T03:00:00,AWS,Medium,R-00101,Disk Full,19,28,Closed
ALT-00331,2026-02-11T06:00:00,Azure,Low,R-00230,High CPU,30,72,Closed
ALT-00332,2026-02-11T09:00:00,AWS,Critical,R-00035,Health Check Failed,7,35,Closed
ALT-00333,2026-02-11T12:00:00,AWS,Medium,R-00392,Health Check Failed,9,29,Closed
ALT-00334,2026-02-11T15:00:00,AWS,Critical,R-00125,Backup Failed,8,68,Closed
ALT-00335,2026-02-11T18:00:00,AWS,High,R-00043,Health Check Failed,15,43,Closed
ALT-00336,2026-02-11T21:00:00,Azure,Critical,R-00334,Disk Full,27,5,Closed
ALT-00337,2026-02-12T00:00:00,AWS,Critical,R-00256,Disk Full,26,33,Closed
ALT-00338,2026-02-12T03:00:00,Azure,Medium,R-00182,Backup Failed,13,45,Closed
ALT-00339,2026-02-12T06:00:00,AWS,Low,R-00062,Disk Full,22,87,Closed
ALT-00340,2026-02-12T09:00:00,AWS,Critical,R-00015,Health Check Failed,6,73,Closed
ALT-00341,2026-02-12T12:00:00,Azure,Medium,R-00483,Backup Failed,4,24,Closed
ALT-00342,2026-02-12T15:00:00,AWS,Medium,R-00164,High CPU,14,22,Closed
ALT-00343,2026-02-12T18:00:00,AWS,Medium,R-00027,Disk Full,23,205,Closed
ALT-00344,2026-02-12T21:00:00,AWS,Critical,R-00281,Backup Failed,9,40,Closed
ALT-00345,2026-02-13T00:00:00,Azure,Low,R-00048,Backup Failed,1,49,Closed
ALT-00346,2026-02-13T03:00:00,Azure,Critical,R-00121,Health Check Failed,30,236,Closed
ALT-00347,2026-02-13T06:00:00,Azure,Low,R-00092,Backup Failed,19,164,Closed
ALT-00348,2026-02-13T09:00:00,AWS,Low,R-00295,Disk Full,8,23,Closed
ALT-00349,2026-02-13T12:00:00,AWS,Medium,R-00156,Disk Full,30,114,Closed
ALT-00350,2026-02-13T15:00:00,AWS,Medium,R-00325,Disk Full,8,226,Closed
ALT-00351,2026-02-13T18:00:00,AWS,Low,R-00014,Backup Failed,16,15,Closed
ALT-00352,2026-02-13T21:00:00,AWS,Low,R-00002,Backup Failed,14,186,Closed
ALT-00353,2026-02-14T00:00:00,AWS,High,R-00427,Disk Full,10,125,Closed
ALT-00354,2026-02-14T03:00:00,AWS,Medium,R-00336,Disk Full,9,18,Closed
ALT-00355,2026-02-14T06:00:00,AWS,Critical,R-00059,Health Check Failed,23,110,Closed
ALT-00356,2026-02-14T09:00:00,AWS,High,R-00360,High CPU,22,43,Closed
ALT-00357,2026-02-14T12:00:00,Azure,High,R-00449,High CPU,25,143,Closed
ALT-00358,2026-02-14T15:00:00,Azure,Low,R-00372,Health Check Failed,8,197,Closed
ALT-00359,2026-02-14T18:00:00,AWS,High,R-00349,Backup Failed,16,149,Closed
ALT-00360,2026-02-14T21:00:00,Azure,High,R-00060,Disk Full,15,164,Closed
ALT-00361,2026-02-15T00:00:00,Azure,Low,R-00481,Health Check Failed,23,85,Closed
ALT-00362,2026-02-15T03:00:00,Azure,Low,R-00058,High CPU,7,185,Closed
ALT-00363,2026-02-15T06:00:00,Azure,High,R-00284,Health Check Failed,25,185,Closed
ALT-00364,2026-02-15T09:00:00,Azure,High,R-00192,High CPU,19,210,Closed
ALT-00365,2026-02-15T12:00:00,Azure,Low,R-00062,Disk Full,9,31,Closed
ALT-00366,2026-02-15T15:00:00,Azure,Critical,R-00394,Disk Full,19,8,Closed
ALT-00367,2026-02-15T18:00:00,AWS,Low,R-00290,Health Check Failed,13,32,Closed
ALT-00368,2026-02-15T21:00:00,Azure,High,R-00243,Backup Failed,4,20,Closed
ALT-00369,2026-02-16T00:00:00,AWS,High,R-00462,Health Check Failed,21,202,Closed
ALT-00370,2026-02-16T03:00:00,Azure,Low,R-00331,Disk Full,17,230,Closed
ALT-00371,2026-02-16T06:00:00,Azure,Critical,R-00413,Health Check Failed,21,116,Closed
ALT-00372,2026-02-16T09:00:00,AWS,Low,R-00300,Disk Full,5,69,Closed
ALT-00373,2026-02-16T12:00:00,AWS,High,R-00029,Disk Full,10,216,Closed
ALT-00374,2026-02-16T15:00:00,AWS,Critical,R-00332,Health Check Failed,27,69,Closed
ALT-00375,2026-02-16T18:00:00,AWS,Low,R-00500,Backup Failed,8,228,Closed
ALT-00376,2026-02-16T21:00:00,Azure,Critical,R-00213,Health Check Failed,23,210,Closed
ALT-00377,2026-02-17T00:00:00,Azure,Low,R-00223,High CPU,28,10,Closed
ALT-00378,2026-02-17T03:00:00,AWS,Medium,R-00229,Backup Failed,22,18,Closed
ALT-00379,2026-02-17T06:00:00,Azure,Low,R-00061,Backup Failed,25,35,Closed
ALT-00380,2026-02-17T09:00:00,AWS,Low,R-00134,Disk Full,20,61,Closed
ALT-00381,2026-02-17T12:00:00,AWS,Critical,R-00324,Health Check Failed,12,128,Closed
ALT-00382,2026-02-17T15:00:00,AWS,Critical,R-00123,Disk Full,6,203,Closed
ALT-00383,2026-02-17T18:00:00,AWS,Medium,R-00102,Disk Full,1,95,Closed
ALT-00384,2026-02-17T21:00:00,Azure,Critical,R-00441,High CPU,18,236,Closed
ALT-00385,2026-02-18T00:00:00,AWS,Critical,R-00177,Backup Failed,7,208,Closed
ALT-00386,2026-02-18T03:00:00,AWS,Critical,R-00255,High CPU,29,107,Closed
ALT-00387,2026-02-18T06:00:00,AWS,Low,R-00031,Disk Full,3,15,Closed
ALT-00388,2026-02-18T09:00:00,AWS,Medium,R-00109,Disk Full,18,154,Closed
ALT-00389,2026-02-18T12:00:00,AWS,Critical,R-00062,Health Check Failed,4,92,Closed
ALT-00390,2026-02-18T15:00:00,Azure,Low,R-00166,Health Check Failed,28,110,Closed
ALT-00391,2026-02-18T18:00:00,AWS,Critical,R-00313,Disk Full,1,10,Closed
ALT-00392,2026-02-18T21:00:00,AWS,High,R-00296,High CPU,12,25,Closed
ALT-00393,2026-02-19T00:00:00,Azure,Medium,R-00001,Health Check Failed,17,45,Closed
ALT-00394,2026-02-19T03:00:00,AWS,High,R-00492,Backup Failed,11,142,Closed
ALT-00395,2026-02-19T06:00:00,AWS,Critical,R-00298,High CPU,21,65,Closed
ALT-00396,2026-02-19T09:00:00,Azure,High,R-00430,Health Check Failed,15,92,Closed
ALT-00397,2026-02-19T12:00:00,AWS,High,R-00237,Backup Failed,23,163,Closed
ALT-00398,2026-02-19T15:00:00,Azure,High,R-00399,High CPU,15,240,Closed
ALT-00399,2026-02-19T18:00:00,AWS,Critical,R-00485,High CPU,21,181,Closed
ALT-00400,2026-02-19T21:00:00,AWS,Low,R-00329,Disk Full,7,118,Closed
ALT-00401,2026-02-20T00:00:00,AWS,Medium,R-00313,Disk Full,11,9,Closed
ALT-00402,2026-02-20T03:00:00,Azure,High,R-00091,High CPU,30,230,Closed
ALT-00403,2026-02-20T06:00:00,Azure,High,R-00326,Disk Full,18,137,Closed
ALT-00404,2026-02-20T09:00:00,AWS,High,R-00332,Backup Failed,11,231,Closed
ALT-00405,2026-02-20T12:00:00,Azure,Critical,R-00227,Health Check Failed,19,89,Closed
ALT-00406,2026-02-20T15:00:00,Azure,Low,R-00379,Health Check Failed,16,49,Closed
ALT-00407,2026-02-20T18:00:00,AWS,Low,R-00063,Backup Failed,28,24,Closed
ALT-00408,2026-02-20T21:00:00,Azure,Low,R-00410,High CPU,9,209,Closed
ALT-00409,2026-02-21T00:00:00,AWS,Medium,R-00079,High CPU,3,95,Closed
ALT-00410,2026-02-21T03:00:00,AWS,Critical,R-00487,High CPU,30,210,Closed
ALT-00411,2026-02-21T06:00:00,Azure,Low,R-00052,Health Check Failed,27,19,Closed
ALT-00412,2026-02-21T09:00:00,Azure,Medium,R-00399,High CPU,22,125,Closed
ALT-00413,2026-02-21T12:00:00,Azure,Low,R-00005,Disk Full,21,7,Closed
ALT-00414,2026-02-21T15:00:00,Azure,Medium,R-00022,Backup Failed,8,197,Closed
ALT-00415,2026-02-21T18:00:00,AWS,Critical,R-00252,Health Check Failed,29,214,Closed
ALT-00416,2026-02-21T21:00:00,AWS,Critical,R-00446,Health Check Failed,21,227,Closed
ALT-00417,2026-02-22T00:00:00,Azure,Critical,R-00181,Disk Full,3,160,Closed
ALT-00418,2026-02-22T03:00:00,AWS,High,R-00338,Health Check Failed,15,187,Closed
ALT-00419,2026-02-22T06:00:00,Azure,High,R-00352,High CPU,25,126,Closed
ALT-00420,2026-02-22T09:00:00,Azure,Low,R-00343,Backup Failed,30,197,Closed
ALT-00421,2026-02-22T12:00:00,Azure,Critical,R-00188,High CPU,24,71,Closed
ALT-00422,2026-02-22T15:00:00,Azure,Critical,R-00140,Disk Full,10,5,Closed
ALT-00423,2026-02-22T18:00:00,Azure,Medium,R-00227,Disk Full,26,215,Closed
ALT-00424,2026-02-22T21:00:00,AWS,Low,R-00033,Disk Full,17,66,Closed
ALT-00425,2026-02-23T00:00:00,AWS,Low,R-00055,Backup Failed,29,53,Closed
ALT-00426,2026-02-23T03:00:00,Azure,Low,R-00437,Health Check Failed,24,234,Closed
ALT-00427,2026-02-23T06:00:00,AWS,High,R-00371,Health Check Failed,29,43,Closed
ALT-00428,2026-02-23T09:00:00,Azure,High,R-00045,High CPU,29,55,Closed
ALT-00429,2026-02-23T12:00:00,AWS,Critical,R-00302,Disk Full,10,82,Closed
ALT-00430,2026-02-23T15:00:00,Azure,High,R-00162,Backup Failed,8,40,Closed
ALT-00431,2026-02-23T18:00:00,Azure,Low,R-00495,Backup Failed,7,174,Closed
ALT-00432,2026-02-23T21:00:00,Azure,Low,R-00225,High CPU,22,230,Closed
ALT-00433,2026-02-24T00:00:00,AWS,Low,R-00241,High CPU,10,177,Closed
ALT-00434,2026-02-24T03:00:00,Azure,High,R-00328,Backup Failed,22,20,Closed
ALT-00435,2026-02-24T06:00:00,Azure,Low,R-00275,High CPU,3,199,Closed
ALT-00436,2026-02-24T09:00:00,Azure,Critical,R-00456,High CPU,21,235,Closed
ALT-00437,2026-02-24T12:00:00,AWS,Low,R-00283,Health Check Failed,22,202,Closed
ALT-00438,2026-02-24T15:00:00,Azure,Low,R-00465,High CPU,28,203,Closed
ALT-00439,2026-02-24T18:00:00,AWS,High,R-00422,Backup Failed,13,15,Closed
ALT-00440,2026-02-24T21:00:00,AWS,Medium,R-00121,High CPU,1,189,Closed
ALT-00441,2026-02-25T00:00:00,AWS,Critical,R-00340,High CPU,10,106,Closed
ALT-00442,2026-02-25T03:00:00,AWS,Low,R-00139,High CPU,24,163,Closed
ALT-00443,2026-02-25T06:00:00,AWS,High,R-00329,Disk Full,14,172,Closed
ALT-00444,2026-02-25T09:00:00,Azure,High,R-00114,Backup Failed,2,229,Closed
ALT-00445,2026-02-25T12:00:00,Azure,Critical,R-00352,Backup Failed,27,41,Closed
ALT-00446,2026-02-25T15:00:00,Azure,Low,R-00089,Disk Full,17,126,Closed
ALT-00447,2026-02-25T18:00:00,Azure,Low,R-00441,Backup Failed,27,112,Closed
ALT-00448,2026-02-25T21:00:00,AWS,Critical,R-00393,Backup Failed,20,130,Closed
ALT-00449,2026-02-26T00:00:00,AWS,Low,R-00463,Backup Failed,11,239,Closed
ALT-00450,2026-02-26T03:00:00,Azure,High,R-00044,Backup Failed,21,13,Closed
ALT-00451,2026-02-26T06:00:00,Azure,Low,R-00494,Disk Full,22,228,Closed
ALT-00452,2026-02-26T09:00:00,AWS,Critical,R-00214,Disk Full,5,71,Closed
ALT-00453,2026-02-26T12:00:00,AWS,Critical,R-00481,Health Check Failed,1,191,Closed
ALT-00454,2026-02-26T15:00:00,AWS,Medium,R-00313,Health Check Failed,4,28,Closed
ALT-00455,2026-02-26T18:00:00,AWS,Critical,R-00148,Health Check Failed,1,97,Closed
ALT-00456,2026-02-26T21:00:00,AWS,Critical,R-00437,Health Check Failed,27,203,Closed
ALT-00457,2026-02-27T00:00:00,AWS,High,R-00172,Backup Failed,25,30,Closed
ALT-00458,2026-02-27T03:00:00,Azure,High,R-00091,Health Check Failed,7,149,Closed
ALT-00459,2026-02-27T06:00:00,Azure,Critical,R-00323,Disk Full,18,155,Closed
ALT-00460,2026-02-27T09:00:00,AWS,Low,R-00500,Backup Failed,26,19,Closed
ALT-00461,2026-02-27T12:00:00,AWS,Medium,R-00202,High CPU,3,23,Closed
ALT-00462,2026-02-27T15:00:00,Azure,Critical,R-00306,Disk Full,9,180,Closed
ALT-00463,2026-02-27T18:00:00,Azure,Medium,R-00086,Backup Failed,22,31,Closed
ALT-00464,2026-02-27T21:00:00,AWS,High,R-00304,Health Check Failed,9,218,Closed
ALT-00465,2026-02-28T00:00:00,AWS,Medium,R-00370,Health Check Failed,24,159,Closed
ALT-00466,2026-02-28T03:00:00,Azure,Critical,R-00281,High CPU,7,232,Closed
ALT-00467,2026-02-28T06:00:00,Azure,High,R-00401,Backup Failed,16,97,Closed
ALT-00468,2026-02-28T09:00:00,Azure,Critical,R-00093,High CPU,29,123,Closed
ALT-00469,2026-02-28T12:00:00,Azure,Critical,R-00472,Backup Failed,14,228,Closed
ALT-00470,2026-02-28T15:00:00,AWS,Low,R-00223,High CPU,24,18,Closed
ALT-00471,2026-02-28T18:00:00,AWS,Critical,R-00492,Backup Failed,8,167,Closed
ALT-00472,2026-02-28T21:00:00,Azure,Medium,R-00321,Disk Full,11,107,Closed
ALT-00473,2026-03-01T00:00:00,Azure,High,R-00007,High CPU,23,44,Closed
ALT-00474,2026-03-01T03:00:00,AWS,Medium,R-00038,Backup Failed,1,114,Closed
ALT-00475,2026-03-01T06:00:00,AWS,Critical,R-00300,Health Check Failed,8,62,Closed
ALT-00476,2026-03-01T09:00:00,AWS,Medium,R-00470,High CPU,6,126,Closed
ALT-00477,2026-03-01T12:00:00,AWS,High,R-00443,Health Check Failed,29,43,Closed
ALT-00478,2026-03-01T15:00:00,Azure,Low,R-00314,Disk Full,23,23,Closed
ALT-00479,2026-03-01T18:00:00,AWS,High,R-00288,Backup Failed,17,31,Closed
ALT-00480,2026-03-01T21:00:00,Azure,Low,R-00395,High CPU,15,161,Closed
ALT-00481,2026-03-02T00:00:00,Azure,Low,R-00215,Disk Full,3,52,Closed
ALT-00482,2026-03-02T03:00:00,Azure,Medium,R-00128,High CPU,14,5,Closed
ALT-00483,2026-03-02T06:00:00,Azure,High,R-00384,Disk Full,13,200,Closed
ALT-00484,2026-03-02T09:00:00,AWS,High,R-00420,Health Check Failed,25,87,Closed
ALT-00485,2026-03-02T12:00:00,AWS,Critical,R-00298,Disk Full,30,155,Closed
ALT-00486,2026-03-02T15:00:00,Azure,Low,R-00124,Disk Full,18,91,Closed
ALT-00487,2026-03-02T18:00:00,Azure,Medium,R-00456,Backup Failed,30,106,Closed
ALT-00488,2026-03-02T21:00:00,AWS,Low,R-00435,Backup Failed,2,138,Closed
ALT-00489,2026-03-03T00:00:00,Azure,Critical,R-00160,Health Check Failed,14,79,Closed
ALT-00490,2026-03-03T03:00:00,Azure,Critical,R-00081,Disk Full,4,13,Closed
ALT-00491,2026-03-03T06:00:00,AWS,Medium,R-00234,Health Check Failed,20,220,Closed
ALT-00492,2026-03-03T09:00:00,AWS,High,R-00001,Disk Full,17,214,Closed
ALT-00493,2026-03-03T12:00:00,AWS,Critical,R-00369,Backup Failed,24,11,Closed
ALT-00494,2026-03-03T15:00:00,Azure,Medium,R-00052,Health Check Failed,28,181,Closed
ALT-00495,2026-03-03T18:00:00,Azure,High,R-00343,High CPU,13,198,Closed
ALT-00496,2026-03-03T21:00:00,AWS,Critical,R-00177,Health Check Failed,4,167,Closed
ALT-00497,2026-03-04T00:00:00,Azure,Medium,R-00331,Backup Failed,12,149,Closed
ALT-00498,2026-03-04T03:00:00,Azure,Medium,R-00119,High CPU,25,113,Closed
ALT-00499,2026-03-04T06:00:00,AWS,Medium,R-00043,Backup Failed,1,240,Closed
ALT-00500,2026-03-04T09:00:00,AWS,Low,R-00299,Backup Failed,8,76,Closed
