survey_id,ticket_id,score,comment_theme,response_date
CSAT-00480,INC-10120,5,Needed follow-up,2026-05-01
CSAT-00481,INC-10001,5,Needed follow-up,2026-05-02
CSAT-00482,INC-10002,5,Professional,2026-05-03
CSAT-00483,INC-10003,3,Easy process,2026-05-04
CSAT-00484,INC-10004,5,Professional,2026-05-05
CSAT-00485,INC-10005,5,Easy process,2026-05-06
CSAT-00486,INC-10006,5,Needed follow-up,2026-05-07
CSAT-00487,INC-10007,3,Easy process,2026-05-08
CSAT-00488,INC-10008,3,Easy process,2026-05-09
CSAT-00489,INC-10009,3,Clear communication,2026-05-10
CSAT-00490,INC-10010,5,Professional,2026-05-11
CSAT-00491,INC-10011,4,Needed follow-up,2026-05-12
CSAT-00492,INC-10012,5,Easy process,2026-05-13
CSAT-00493,INC-10013,3,Easy process,2026-05-14
CSAT-00494,INC-10014,4,Professional,2026-05-15
CSAT-00495,INC-10015,5,Professional,2026-05-16
CSAT-00496,INC-10016,5,Easy process,2026-05-17
CSAT-00497,INC-10017,3,Clear communication,2026-05-18
CSAT-00498,INC-10018,5,Professional,2026-05-19
CSAT-00499,INC-10019,5,Easy process,2026-05-20
CSAT-00500,INC-10020,5,Professional,2026-05-21
