asset_tag,type,vendor,model,serial,location,assigned_to,status,warranty_end
AST-00303,Monitor,Dell,Standard,SN000000303,Charlotte,User-160,In Use,2028-03-14
AST-00304,Laptop,Zebra,Pro,SN000000304,Charlotte,User-163,In Use,2028-03-15
AST-00305,Printer,Dell,Pro,SN000000305,Charlotte,User-166,Repair,2028-03-16
AST-00306,Mobile,Apple,Standard,SN000000306,Charlotte,User-169,In Stock,2028-03-17
AST-00307,Mobile,HP,Standard,SN000000307,Charlotte,User-172,In Stock,2028-03-18
AST-00308,Dock,Zebra,Pro,SN000000308,Remote,User-175,In Use,2028-03-19
AST-00309,Laptop,HP,Enterprise,SN000000309,Remote,User-178,Repair,2028-03-20
AST-00310,Dock,HP,Standard,SN000000310,Raleigh,User-181,In Use,2028-03-21
AST-00311,Monitor,HP,Pro,SN000000311,Raleigh,User-184,In Use,2028-03-22
AST-00312,Laptop,Apple,Pro,SN000000312,Raleigh,User-187,In Use,2028-03-23
AST-00313,Monitor,Lenovo,Standard,SN000000313,Charlotte,User-190,In Use,2028-03-24
AST-00314,Printer,Lenovo,Pro,SN000000314,Remote,User-193,In Use,2028-03-25
AST-00315,Mobile,HP,Pro,SN000000315,Charlotte,User-196,In Use,2028-03-26
AST-00316,Laptop,Zebra,Enterprise,SN000000316,Raleigh,User-199,In Use,2028-03-27
AST-00317,Printer,Zebra,Standard,SN000000317,Charlotte,User-202,In Use,2028-03-28
AST-00318,Laptop,Lenovo,Enterprise,SN000000318,Raleigh,User-205,Repair,2028-03-29
AST-00319,Mobile,Lenovo,Enterprise,SN000000319,Raleigh,User-208,Repair,2028-03-30
AST-00320,Dock,Lenovo,Pro,SN000000320,Charlotte,User-211,In Stock,2028-03-31
AST-00321,Dock,Lenovo,Enterprise,SN000000321,Remote,User-214,Repair,2028-04-01
AST-00322,Laptop,Lenovo,Enterprise,SN000000322,Remote,User-217,In Use,2028-04-02
AST-00323,Monitor,Apple,Standard,SN000000323,Remote,User-220,In Use,2028-04-03
AST-00324,Dock,Apple,Standard,SN000000324,Charlotte,User-223,Repair,2028-04-04
AST-00325,Dock,HP,Enterprise,SN000000325,Charlotte,User-226,In Use,2028-04-05
AST-00326,Mobile,Dell,Pro,SN000000326,Remote,User-229,Repair,2028-04-06
AST-00327,Printer,HP,Pro,SN000000327,Remote,User-232,In Stock,2028-04-07
AST-00328,Dock,Apple,Enterprise,SN000000328,Raleigh,User-235,In Stock,2028-04-08
AST-00329,Dock,HP,Standard,SN000000329,Remote,User-238,In Stock,2028-04-09
AST-00330,Printer,Dell,Pro,SN000000330,Raleigh,User-241,In Stock,2028-04-10
AST-00331,Dock,Dell,Standard,SN000000331,Raleigh,User-244,In Use,2028-04-11
AST-00332,Mobile,HP,Enterprise,SN000000332,Raleigh,User-247,In Use,2028-04-12
AST-00333,Dock,Apple,Pro,SN000000333,Charlotte,User-250,In Stock,2028-04-13
AST-00334,Laptop,Apple,Standard,SN000000334,Charlotte,User-003,In Stock,2028-04-14
AST-00335,Printer,Dell,Standard,SN000000335,Raleigh,User-006,In Stock,2028-04-15
AST-00336,Laptop,Apple,Pro,SN000000336,Remote,User-009,In Use,2028-04-16
AST-00337,Laptop,Lenovo,Standard,SN000000337,Raleigh,User-012,In Stock,2028-04-17
AST-00338,Printer,Zebra,Standard,SN000000338,Charlotte,User-015,In Stock,2028-04-18
AST-00339,Monitor,HP,Pro,SN000000339,Remote,User-018,In Use,2028-04-19
AST-00340,Dock,HP,Standard,SN000000340,Raleigh,User-021,In Stock,2028-04-20
AST-00341,Monitor,Apple,Pro,SN000000341,Raleigh,User-024,In Use,2028-04-21
AST-00342,Dock,Lenovo,Enterprise,SN000000342,Raleigh,User-027,In Use,2028-04-22
AST-00343,Printer,Apple,Enterprise,SN000000343,Raleigh,User-030,In Use,2028-04-23
AST-00344,Monitor,Lenovo,Standard,SN000000344,Raleigh,User-033,In Use,2028-04-24
AST-00345,Dock,Lenovo,Standard,SN000000345,Raleigh,User-036,Repair,2028-04-25
AST-00346,Printer,HP,Pro,SN000000346,Raleigh,User-039,In Use,2028-04-26
AST-00347,Monitor,Zebra,Pro,SN000000347,Remote,User-042,In Stock,2028-04-27
AST-00348,Printer,Lenovo,Pro,SN000000348,Raleigh,User-045,Repair,2028-04-28
AST-00349,Mobile,Apple,Pro,SN000000349,Raleigh,User-048,In Use,2028-04-29
AST-00350,Printer,Dell,Pro,SN000000350,Charlotte,User-051,In Use,2028-04-30
AST-00351,Printer,Lenovo,Standard,SN000000351,Remote,User-054,In Stock,2028-05-01
AST-00352,Monitor,Zebra,Enterprise,SN000000352,Remote,User-057,In Stock,2028-05-02
AST-00353,Laptop,Apple,Standard,SN000000353,Raleigh,User-060,In Use,2028-05-03
AST-00354,Mobile,Zebra,Pro,SN000000354,Charlotte,User-063,In Use,2028-05-04
AST-00355,Laptop,Lenovo,Enterprise,SN000000355,Charlotte,User-066,In Stock,2028-05-05
AST-00356,Printer,Dell,Pro,SN000000356,Remote,User-069,Repair,2028-05-06
AST-00357,Dock,Dell,Standard,SN000000357,Remote,User-072,In Use,2028-05-07
AST-00358,Monitor,Zebra,Standard,SN000000358,Remote,User-075,Repair,2028-05-08
AST-00359,Monitor,HP,Enterprise,SN000000359,Remote,User-078,In Use,2028-05-09
AST-00360,Dock,Lenovo,Enterprise,SN000000360,Charlotte,User-081,Repair,2028-05-10
AST-00361,Printer,HP,Standard,SN000000361,Charlotte,User-084,In Use,2028-05-11
AST-00362,Monitor,Zebra,Standard,SN000000362,Remote,User-087,In Use,2028-05-12
AST-00363,Monitor,HP,Standard,SN000000363,Raleigh,User-090,In Use,2028-05-13
AST-00364,Printer,Apple,Pro,SN000000364,Charlotte,User-093,In Use,2028-05-14
AST-00365,Dock,Apple,Pro,SN000000365,Charlotte,User-096,In Use,2028-05-15
AST-00366,Printer,Lenovo,Enterprise,SN000000366,Remote,User-099,Repair,2028-05-16
AST-00367,Printer,Dell,Pro,SN000000367,Charlotte,User-102,In Use,2028-05-17
AST-00368,Monitor,HP,Enterprise,SN000000368,Remote,User-105,In Use,2028-05-18
AST-00369,Monitor,Zebra,Enterprise,SN000000369,Remote,User-108,In Use,2028-05-19
AST-00370,Mobile,Apple,Pro,SN000000370,Raleigh,User-111,In Use,2028-05-20
AST-00371,Printer,Apple,Pro,SN000000371,Remote,User-114,In Stock,2028-05-21
AST-00372,Mobile,Apple,Enterprise,SN000000372,Charlotte,User-117,Repair,2028-05-22
AST-00373,Mobile,Apple,Standard,SN000000373,Charlotte,User-120,In Stock,2028-05-23
AST-00374,Mobile,Dell,Enterprise,SN000000374,Raleigh,User-123,In Use,2028-05-24
AST-00375,Printer,Lenovo,Standard,SN000000375,Remote,User-126,Repair,2028-05-25
AST-00376,Laptop,Lenovo,Standard,SN000000376,Raleigh,User-129,Repair,2028-05-26
AST-00377,Dock,Dell,Standard,SN000000377,Raleigh,User-132,In Use,2028-05-27
AST-00378,Dock,Zebra,Pro,SN000000378,Remote,User-135,In Use,2028-05-28
AST-00379,Monitor,HP,Pro,SN000000379,Remote,User-138,In Stock,2028-05-29
AST-00380,Mobile,HP,Pro,SN000000380,Remote,User-141,In Stock,2028-05-30
AST-00381,Mobile,Dell,Enterprise,SN000000381,Raleigh,User-144,Repair,2028-05-31
AST-00382,Mobile,Zebra,Enterprise,SN000000382,Charlotte,User-147,In Stock,2028-06-01
AST-00383,Monitor,Lenovo,Enterprise,SN000000383,Remote,User-150,In Stock,2028-06-02
AST-00384,Printer,Zebra,Pro,SN000000384,Charlotte,User-153,In Use,2028-06-03
AST-00385,Laptop,HP,Standard,SN000000385,Charlotte,User-156,In Use,2028-06-04
AST-00386,Mobile,Apple,Pro,SN000000386,Charlotte,User-159,In Use,2028-06-05
AST-00387,Laptop,HP,Enterprise,SN000000387,Raleigh,User-162,Repair,2028-06-06
AST-00388,Laptop,Dell,Enterprise,SN000000388,Raleigh,User-165,In Use,2028-06-07
AST-00389,Laptop,Dell,Pro,SN000000389,Raleigh,User-168,In Use,2028-06-08
AST-00390,Monitor,Lenovo,Standard,SN000000390,Remote,User-171,Repair,2028-06-09
AST-00391,Mobile,HP,Enterprise,SN000000391,Remote,User-174,In Use,2028-06-10
AST-00392,Monitor,Lenovo,Pro,SN000000392,Raleigh,User-177,In Stock,2028-06-11
AST-00393,Monitor,HP,Enterprise,SN000000393,Charlotte,User-180,Repair,2028-06-12
AST-00394,Printer,HP,Standard,SN000000394,Remote,User-183,In Use,2028-06-13
AST-00395,Laptop,HP,Standard,SN000000395,Charlotte,User-186,In Use,2028-06-14
AST-00396,Dock,Apple,Enterprise,SN000000396,Remote,User-189,In Use,2028-06-15
AST-00397,Dock,HP,Enterprise,SN000000397,Remote,User-192,Repair,2028-06-16
AST-00398,Monitor,HP,Enterprise,SN000000398,Raleigh,User-195,In Stock,2028-06-17
AST-00399,Dock,Zebra,Enterprise,SN000000399,Charlotte,User-198,In Use,2028-06-18
AST-00400,Mobile,Apple,Enterprise,SN000000400,Raleigh,User-201,In Use,2028-06-19
AST-00401,Printer,Dell,Standard,SN000000401,Remote,User-204,In Stock,2028-06-20
AST-00402,Laptop,Dell,Pro,SN000000402,Charlotte,User-207,In Use,2028-06-21
AST-00403,Printer,Zebra,Pro,SN000000403,Charlotte,User-210,In Use,2028-06-22
AST-00404,Dock,Lenovo,Pro,SN000000404,Remote,User-213,In Stock,2028-06-23
AST-00405,Laptop,HP,Pro,SN000000405,Charlotte,User-216,In Use,2028-06-24
AST-00406,Printer,Zebra,Enterprise,SN000000406,Raleigh,User-219,Repair,2028-06-25
AST-00407,Printer,Dell,Enterprise,SN000000407,Remote,User-222,In Use,2028-06-26
AST-00408,Printer,Apple,Pro,SN000000408,Remote,User-225,In Use,2028-06-27
AST-00409,Laptop,Lenovo,Pro,SN000000409,Raleigh,User-228,In Use,2028-06-28
AST-00410,Dock,Dell,Standard,SN000000410,Charlotte,User-231,In Stock,2028-06-29
AST-00411,Laptop,HP,Pro,SN000000411,Charlotte,User-234,In Use,2028-06-30
AST-00412,Dock,Dell,Pro,SN000000412,Remote,User-237,In Use,2028-07-01
AST-00413,Printer,Apple,Standard,SN000000413,Raleigh,User-240,In Use,2028-07-02
AST-00414,Laptop,Dell,Pro,SN000000414,Remote,User-243,In Use,2028-07-03
AST-00415,Dock,Apple,Pro,SN000000415,Raleigh,User-246,In Use,2028-07-04
AST-00416,Laptop,Dell,Standard,SN000000416,Charlotte,User-249,Repair,2028-07-05
AST-00417,Laptop,Zebra,Pro,SN000000417,Charlotte,User-002,Repair,2028-07-06
AST-00418,Mobile,HP,Pro,SN000000418,Remote,User-005,Repair,2028-07-07
AST-00419,Printer,HP,Standard,SN000000419,Raleigh,User-008,In Use,2028-07-08
AST-00420,Printer,Lenovo,Pro,SN000000420,Charlotte,User-011,In Stock,2028-07-09
AST-00421,Mobile,Dell,Standard,SN000000421,Charlotte,User-014,In Use,2028-07-10
AST-00422,Printer,Dell,Standard,SN000000422,Raleigh,User-017,In Use,2028-07-11
AST-00423,Laptop,HP,Standard,SN000000423,Charlotte,User-020,In Use,2028-07-12
AST-00424,Monitor,Apple,Standard,SN000000424,Raleigh,User-023,In Use,2028-07-13
AST-00425,Dock,Lenovo,Enterprise,SN000000425,Remote,User-026,In Use,2028-07-14
AST-00426,Dock,HP,Enterprise,SN000000426,Raleigh,User-029,Repair,2028-07-15
AST-00427,Laptop,Dell,Standard,SN000000427,Raleigh,User-032,In Use,2028-07-16
AST-00428,Mobile,Lenovo,Standard,SN000000428,Raleigh,User-035,In Stock,2028-07-17
AST-00429,Dock,Zebra,Pro,SN000000429,Remote,User-038,In Use,2028-07-18
AST-00430,Printer,Lenovo,Pro,SN000000430,Remote,User-041,In Use,2028-07-19
AST-00431,Laptop,Lenovo,Pro,SN000000431,Remote,User-044,Repair,2028-07-20
AST-00432,Dock,Dell,Standard,SN000000432,Charlotte,User-047,In Use,2028-07-21
AST-00433,Dock,Zebra,Standard,SN000000433,Charlotte,User-050,In Stock,2028-07-22
AST-00434,Monitor,Dell,Standard,SN000000434,Remote,User-053,Repair,2028-07-23
AST-00435,Mobile,Dell,Standard,SN000000435,Raleigh,User-056,In Use,2028-07-24
AST-00436,Dock,Lenovo,Enterprise,SN000000436,Raleigh,User-059,In Stock,2028-07-25
AST-00437,Laptop,Dell,Pro,SN000000437,Remote,User-062,Repair,2028-07-26
AST-00438,Mobile,Dell,Pro,SN000000438,Raleigh,User-065,Repair,2028-07-27
AST-00439,Laptop,HP,Standard,SN000000439,Raleigh,User-068,In Use,2028-07-28
AST-00440,Mobile,Zebra,Standard,SN000000440,Remote,User-071,In Stock,2028-07-29
AST-00441,Laptop,Zebra,Pro,SN000000441,Charlotte,User-074,In Stock,2028-07-30
AST-00442,Dock,Zebra,Standard,SN000000442,Charlotte,User-077,In Stock,2028-07-31
AST-00443,Printer,Apple,Pro,SN000000443,Remote,User-080,In Use,2028-08-01
AST-00444,Laptop,Zebra,Pro,SN000000444,Remote,User-083,In Stock,2028-08-02
AST-00445,Printer,Apple,Pro,SN000000445,Remote,User-086,In Stock,2028-08-03
AST-00446,Monitor,Apple,Pro,SN000000446,Remote,User-089,In Use,2028-08-04
AST-00447,Monitor,Dell,Pro,SN000000447,Remote,User-092,In Stock,2028-08-05
AST-00448,Laptop,HP,Enterprise,SN000000448,Raleigh,User-095,In Stock,2028-08-06
AST-00449,Printer,Apple,Standard,SN000000449,Remote,User-098,In Stock,2028-08-07
AST-00450,Dock,Lenovo,Enterprise,SN000000450,Raleigh,User-101,In Use,2028-08-08
AST-00451,Laptop,Lenovo,Enterprise,SN000000451,Remote,User-104,In Stock,2028-08-09
AST-00452,Dock,HP,Pro,SN000000452,Raleigh,User-107,In Use,2028-08-10
AST-00453,Mobile,Dell,Pro,SN000000453,Charlotte,User-110,In Stock,2028-08-11
AST-00454,Mobile,Zebra,Standard,SN000000454,Raleigh,User-113,In Use,2028-08-12
AST-00455,Printer,Dell,Pro,SN000000455,Remote,User-116,In Stock,2028-08-13
AST-00456,Laptop,Apple,Standard,SN000000456,Raleigh,User-119,In Stock,2028-08-14
AST-00457,Dock,Apple,Standard,SN000000457,Charlotte,User-122,In Use,2028-08-15
AST-00458,Monitor,Zebra,Enterprise,SN000000458,Charlotte,User-125,In Use,2028-08-16
AST-00459,Laptop,Dell,Standard,SN000000459,Remote,User-128,Repair,2028-08-17
AST-00460,Printer,Lenovo,Standard,SN000000460,Remote,User-131,In Use,2028-08-18
AST-00461,Laptop,Lenovo,Pro,SN000000461,Charlotte,User-134,In Stock,2028-08-19
AST-00462,Printer,Dell,Enterprise,SN000000462,Charlotte,User-137,In Stock,2028-08-20
AST-00463,Laptop,Dell,Enterprise,SN000000463,Raleigh,User-140,In Use,2028-08-21
AST-00464,Printer,Dell,Standard,SN000000464,Charlotte,User-143,In Stock,2028-08-22
AST-00465,Printer,Lenovo,Enterprise,SN000000465,Raleigh,User-146,In Use,2028-08-23
AST-00466,Mobile,Lenovo,Standard,SN000000466,Charlotte,User-149,In Stock,2028-08-24
AST-00467,Printer,Lenovo,Pro,SN000000467,Raleigh,User-152,In Stock,2028-08-25
AST-00468,Mobile,Lenovo,Enterprise,SN000000468,Charlotte,User-155,In Use,2028-08-26
AST-00469,Dock,Dell,Pro,SN000000469,Charlotte,User-158,In Use,2028-08-27
AST-00470,Laptop,Zebra,Standard,SN000000470,Raleigh,User-161,In Stock,2028-08-28
AST-00471,Monitor,Apple,Enterprise,SN000000471,Charlotte,User-164,In Use,2028-08-29
AST-00472,Mobile,Dell,Standard,SN000000472,Charlotte,User-167,Repair,2028-08-30
AST-00473,Printer,Dell,Enterprise,SN000000473,Charlotte,User-170,Repair,2028-08-31
AST-00474,Printer,Zebra,Pro,SN000000474,Raleigh,User-173,In Stock,2028-09-01
AST-00475,Monitor,Zebra,Pro,SN000000475,Charlotte,User-176,In Stock,2028-09-02
AST-00476,Monitor,Lenovo,Standard,SN000000476,Raleigh,User-179,In Stock,2028-09-03
AST-00477,Laptop,HP,Pro,SN000000477,Remote,User-182,Repair,2028-09-04
AST-00478,Dock,Dell,Pro,SN000000478,Remote,User-185,In Use,2028-09-05
AST-00479,Dock,Apple,Enterprise,SN000000479,Charlotte,User-188,Repair,2028-09-06
AST-00480,Mobile,HP,Enterprise,SN000000480,Charlotte,User-191,In Use,2028-09-07
AST-00481,Mobile,Zebra,Enterprise,SN000000481,Charlotte,User-194,In Stock,2028-09-08
AST-00482,Dock,Lenovo,Pro,SN000000482,Charlotte,User-197,In Use,2028-09-09
AST-00483,Mobile,Apple,Enterprise,SN000000483,Charlotte,User-200,Repair,2028-09-10
AST-00484,Monitor,HP,Pro,SN000000484,Charlotte,User-203,In Use,2028-09-11
AST-00485,Laptop,Apple,Pro,SN000000485,Remote,User-206,Repair,2028-09-12
AST-00486,Laptop,HP,Standard,SN000000486,Raleigh,User-209,In Use,2028-09-13
AST-00487,Monitor,Dell,Standard,SN000000487,Remote,User-212,Repair,2028-09-14
AST-00488,Mobile,Lenovo,Standard,SN000000488,Raleigh,User-215,In Use,2028-09-15
AST-00489,Dock,Dell,Pro,SN000000489,Raleigh,User-218,In Use,2028-09-16
AST-00490,Laptop,Dell,Enterprise,SN000000490,Raleigh,User-221,Repair,2028-09-17
AST-00491,Mobile,Apple,Enterprise,SN000000491,Raleigh,User-224,In Stock,2028-09-18
AST-00492,Mobile,HP,Enterprise,SN000000492,Charlotte,User-227,In Use,2028-09-19
AST-00493,Monitor,Dell,Enterprise,SN000000493,Remote,User-230,In Stock,2028-09-20
AST-00494,Mobile,Apple,Pro,SN000000494,Raleigh,User-233,In Use,2028-09-21
AST-00495,Printer,Zebra,Pro,SN000000495,Charlotte,User-236,In Use,2028-09-22
AST-00496,Dock,Apple,Pro,SN000000496,Charlotte,User-239,Repair,2028-09-23
AST-00497,Dock,Lenovo,Pro,SN000000497,Raleigh,User-242,In Use,2028-09-24
AST-00498,Monitor,Dell,Enterprise,SN000000498,Remote,User-245,In Use,2028-09-25
AST-00499,Mobile,Zebra,Pro,SN000000499,Remote,User-248,In Stock,2028-09-26
AST-00500,Laptop,Lenovo,Pro,SN000000500,Charlotte,User-001,In Use,2028-09-27
AST-00501,Dock,Lenovo,Pro,SN000000501,Raleigh,User-004,In Use,2028-09-28
AST-00502,Monitor,Lenovo,Pro,SN000000502,Remote,User-007,In Use,2028-09-29
AST-00503,Monitor,Lenovo,Standard,SN000000503,Charlotte,User-010,In Use,2028-09-30
AST-00504,Printer,Zebra,Standard,SN000000504,Charlotte,User-013,In Use,2028-10-01
AST-00505,Printer,Zebra,Standard,SN000000505,Charlotte,User-016,Repair,2028-10-02
AST-00506,Laptop,Lenovo,Standard,SN000000506,Raleigh,User-019,Repair,2028-10-03
AST-00507,Mobile,Zebra,Standard,SN000000507,Raleigh,User-022,In Stock,2028-10-04
AST-00508,Laptop,Dell,Pro,SN000000508,Raleigh,User-025,Repair,2028-10-05
AST-00509,Dock,Dell,Standard,SN000000509,Raleigh,User-028,In Use,2028-10-06
AST-00510,Dock,Dell,Enterprise,SN000000510,Charlotte,User-031,In Use,2028-10-07
AST-00511,Dock,HP,Enterprise,SN000000511,Raleigh,User-034,In Stock,2028-10-08
AST-00512,Mobile,Zebra,Enterprise,SN000000512,Charlotte,User-037,In Stock,2028-10-09
AST-00513,Laptop,Apple,Standard,SN000000513,Remote,User-040,In Stock,2028-10-10
AST-00514,Monitor,Zebra,Enterprise,SN000000514,Remote,User-043,In Use,2028-10-11
AST-00515,Laptop,HP,Standard,SN000000515,Remote,User-046,Repair,2028-10-12
AST-00516,Monitor,HP,Pro,SN000000516,Raleigh,User-049,In Use,2028-10-13
AST-00517,Mobile,HP,Enterprise,SN000000517,Raleigh,User-052,In Stock,2028-10-14
AST-00518,Monitor,HP,Enterprise,SN000000518,Charlotte,User-055,In Use,2028-10-15
AST-00519,Laptop,Apple,Standard,SN000000519,Raleigh,User-058,In Use,2028-10-16
AST-00520,Monitor,Dell,Pro,SN000000520,Remote,User-061,In Stock,2028-10-17
AST-00521,Printer,Apple,Enterprise,SN000000521,Remote,User-064,In Use,2028-10-18
AST-00522,Dock,Apple,Enterprise,SN000000522,Remote,User-067,In Use,2028-10-19
AST-00523,Dock,HP,Pro,SN000000523,Remote,User-070,Repair,2028-10-20
AST-00524,Mobile,Apple,Enterprise,SN000000524,Raleigh,User-073,Repair,2028-10-21
AST-00525,Dock,Dell,Standard,SN000000525,Charlotte,User-076,In Stock,2028-10-22
AST-00526,Mobile,Apple,Pro,SN000000526,Charlotte,User-079,Repair,2028-10-23
AST-00527,Laptop,HP,Pro,SN000000527,Raleigh,User-082,In Use,2028-10-24
AST-00528,Dock,Apple,Enterprise,SN000000528,Charlotte,User-085,Repair,2028-10-25
AST-00529,Mobile,Zebra,Pro,SN000000529,Remote,User-088,In Use,2028-10-26
AST-00530,Laptop,Lenovo,Pro,SN000000530,Remote,User-091,In Use,2028-10-27
AST-00531,Mobile,Dell,Enterprise,SN000000531,Raleigh,User-094,In Stock,2028-10-28
AST-00532,Dock,Apple,Pro,SN000000532,Raleigh,User-097,Repair,2028-10-29
AST-00533,Mobile,Lenovo,Standard,SN000000533,Raleigh,User-100,Repair,2028-10-30
AST-00534,Monitor,Lenovo,Enterprise,SN000000534,Charlotte,User-103,In Stock,2028-10-31
AST-00535,Mobile,Apple,Standard,SN000000535,Remote,User-106,In Use,2028-11-01
AST-00536,Printer,HP,Enterprise,SN000000536,Charlotte,User-109,In Stock,2028-11-02
AST-00537,Monitor,Zebra,Enterprise,SN000000537,Charlotte,User-112,In Use,2028-11-03
AST-00538,Mobile,Dell,Enterprise,SN000000538,Raleigh,User-115,In Stock,2028-11-04
AST-00539,Printer,Dell,Enterprise,SN000000539,Charlotte,User-118,In Use,2028-11-05
AST-00540,Dock,Zebra,Standard,SN000000540,Charlotte,User-121,Repair,2028-11-06
AST-00541,Monitor,Lenovo,Standard,SN000000541,Raleigh,User-124,In Stock,2028-11-07
AST-00542,Mobile,HP,Enterprise,SN000000542,Remote,User-127,In Use,2028-11-08
AST-00543,Laptop,Dell,Standard,SN000000543,Remote,User-130,In Use,2028-11-09
AST-00544,Printer,Apple,Pro,SN000000544,Charlotte,User-133,In Use,2028-11-10
AST-00545,Dock,Lenovo,Standard,SN000000545,Charlotte,User-136,In Use,2028-11-11
AST-00546,Laptop,Lenovo,Enterprise,SN000000546,Charlotte,User-139,Repair,2028-11-12
AST-00547,Mobile,HP,Enterprise,SN000000547,Raleigh,User-142,In Use,2028-11-13
AST-00548,Laptop,Dell,Enterprise,SN000000548,Remote,User-145,Repair,2028-11-14
AST-00549,Laptop,Dell,Enterprise,SN000000549,Remote,User-148,In Use,2028-11-15
AST-00550,Laptop,Zebra,Pro,SN000000550,Charlotte,User-151,In Stock,2028-11-16
AST-00551,Dock,Apple,Enterprise,SN000000551,Remote,User-154,In Use,2028-11-17
AST-00552,Dock,Lenovo,Pro,SN000000552,Charlotte,User-157,In Use,2028-11-18
AST-00553,Dock,Zebra,Pro,SN000000553,Raleigh,User-160,In Stock,2028-11-19
AST-00554,Mobile,Dell,Standard,SN000000554,Raleigh,User-163,In Stock,2028-11-20
AST-00555,Mobile,Lenovo,Enterprise,SN000000555,Remote,User-166,In Use,2028-11-21
AST-00556,Mobile,Dell,Pro,SN000000556,Remote,User-169,Repair,2028-11-22
AST-00557,Dock,Zebra,Enterprise,SN000000557,Charlotte,User-172,Repair,2028-11-23
AST-00558,Monitor,Zebra,Standard,SN000000558,Raleigh,User-175,In Use,2028-11-24
AST-00559,Mobile,Lenovo,Pro,SN000000559,Remote,User-178,In Use,2028-11-25
AST-00560,Dock,Lenovo,Standard,SN000000560,Remote,User-181,In Use,2028-11-26
AST-00561,Laptop,Zebra,Standard,SN000000561,Charlotte,User-184,Repair,2028-11-27
AST-00562,Printer,HP,Standard,SN000000562,Charlotte,User-187,Repair,2028-11-28
AST-00563,Printer,Apple,Enterprise,SN000000563,Remote,User-190,In Use,2028-11-29
AST-00564,Laptop,Apple,Pro,SN000000564,Raleigh,User-193,In Stock,2028-11-30
AST-00565,Dock,HP,Standard,SN000000565,Raleigh,User-196,Repair,2028-12-01
AST-00566,Laptop,Lenovo,Enterprise,SN000000566,Charlotte,User-199,Repair,2028-12-02
AST-00567,Printer,Apple,Pro,SN000000567,Remote,User-202,In Use,2028-12-03
AST-00568,Dock,Apple,Enterprise,SN000000568,Raleigh,User-205,In Use,2028-12-04
AST-00569,Laptop,Apple,Enterprise,SN000000569,Charlotte,User-208,Repair,2028-12-05
AST-00570,Monitor,Dell,Standard,SN000000570,Remote,User-211,In Use,2028-12-06
AST-00571,Monitor,HP,Pro,SN000000571,Charlotte,User-214,In Use,2028-12-07
AST-00572,Mobile,Apple,Standard,SN000000572,Remote,User-217,Repair,2028-12-08
AST-00573,Monitor,Zebra,Pro,SN000000573,Raleigh,User-220,In Use,2028-12-09
AST-00574,Dock,Dell,Pro,SN000000574,Raleigh,User-223,In Stock,2028-12-10
AST-00575,Printer,Lenovo,Enterprise,SN000000575,Raleigh,User-226,In Use,2028-12-11
AST-00576,Monitor,Lenovo,Enterprise,SN000000576,Remote,User-229,In Use,2028-12-12
AST-00577,Printer,Lenovo,Enterprise,SN000000577,Remote,User-232,In Stock,2028-12-13
AST-00578,Mobile,Apple,Standard,SN000000578,Raleigh,User-235,In Use,2028-12-14
AST-00579,Monitor,Zebra,Enterprise,SN000000579,Raleigh,User-238,In Use,2028-12-15
AST-00580,Dock,Apple,Standard,SN000000580,Charlotte,User-241,Repair,2028-12-16
AST-00581,Laptop,Dell,Pro,SN000000581,Remote,User-244,In Use,2028-12-17
AST-00582,Monitor,Dell,Enterprise,SN000000582,Raleigh,User-247,In Stock,2028-12-18
AST-00583,Laptop,Dell,Enterprise,SN000000583,Raleigh,User-250,In Use,2028-12-19
AST-00584,Laptop,Lenovo,Enterprise,SN000000584,Remote,User-003,In Use,2028-12-20
AST-00585,Dock,Dell,Standard,SN000000585,Raleigh,User-006,In Stock,2028-12-21
AST-00586,Mobile,Zebra,Enterprise,SN000000586,Raleigh,User-009,In Stock,2028-12-22
AST-00587,Printer,Apple,Pro,SN000000587,Remote,User-012,In Use,2028-12-23
AST-00588,Laptop,Zebra,Standard,SN000000588,Charlotte,User-015,In Use,2028-12-24
AST-00589,Dock,HP,Pro,SN000000589,Remote,User-018,In Use,2028-12-25
AST-00590,Monitor,Zebra,Enterprise,SN000000590,Remote,User-021,Repair,2028-12-26
AST-00591,Dock,Zebra,Enterprise,SN000000591,Remote,User-024,In Stock,2028-12-27
AST-00592,Printer,Apple,Standard,SN000000592,Charlotte,User-027,In Use,2028-12-28
AST-00593,Monitor,HP,Standard,SN000000593,Remote,User-030,In Use,2028-12-29
AST-00594,Monitor,HP,Pro,SN000000594,Charlotte,User-033,In Stock,2028-12-30
AST-00595,Laptop,Dell,Standard,SN000000595,Remote,User-036,Repair,2028-12-31
AST-00596,Mobile,Apple,Pro,SN000000596,Raleigh,User-039,In Use,2029-01-01
AST-00597,Monitor,Zebra,Pro,SN000000597,Raleigh,User-042,Repair,2029-01-02
AST-00598,Mobile,Lenovo,Pro,SN000000598,Remote,User-045,In Stock,2029-01-03
AST-00599,Printer,Dell,Enterprise,SN000000599,Charlotte,User-048,In Use,2029-01-04
AST-00600,Dock,HP,Pro,SN000000600,Remote,User-051,Repair,2029-01-05
AST-00601,Mobile,Lenovo,Enterprise,SN000000601,Charlotte,User-054,Repair,2029-01-06
AST-00602,Dock,HP,Standard,SN000000602,Raleigh,User-057,Repair,2029-01-07
AST-00603,Dock,Apple,Standard,SN000000603,Remote,User-060,In Use,2029-01-08
AST-00604,Mobile,Lenovo,Standard,SN000000604,Remote,User-063,In Use,2029-01-09
