asset_tag,hostname,user_id,model,os,department,site,encryption,compliance,last_checkin
LT-00186,NSR-LT-0186,User-053,Lenovo T14 Gen 4,Windows 11 23H2,HR,Remote,Encrypted,Compliant,2026-07-08T18:00
LT-00187,NSR-LT-0187,User-060,Lenovo T14 Gen 4,Windows 11 24H2,IT,Charlotte,Encrypted,Noncompliant,2026-07-08T19:00
LT-00188,NSR-LT-0188,User-067,Dell Latitude 5440,Windows 11 24H2,Marketing,Charlotte,Encrypted,Compliant,2026-07-08T20:00
LT-00189,NSR-LT-0189,User-074,Dell Latitude 5440,Windows 11 24H2,HR,Remote,Encrypted,Compliant,2026-07-08T21:00
LT-00190,NSR-LT-0190,User-081,HP EliteBook 840 G10,Windows 11 24H2,HR,Raleigh,Encrypted,Compliant,2026-07-08T22:00
LT-00191,NSR-LT-0191,User-088,Lenovo T14 Gen 4,Windows 11 24H2,Finance,Raleigh,Encrypted,Noncompliant,2026-07-08T23:00
LT-00192,NSR-LT-0192,User-095,HP EliteBook 840 G10,Windows 11 24H2,Marketing,Remote,Encrypted,Compliant,2026-07-09T00:00
LT-00193,NSR-LT-0193,User-102,Dell Latitude 5440,Windows 11 23H2,Operations,Raleigh,Not Encrypted,Compliant,2026-07-09T01:00
LT-00194,NSR-LT-0194,User-109,Lenovo T14 Gen 4,Windows 11 23H2,Operations,Remote,Not Encrypted,Compliant,2026-07-09T02:00
LT-00195,NSR-LT-0195,User-116,Dell Latitude 5440,Windows 11 23H2,Marketing,Remote,Not Encrypted,Compliant,2026-07-09T03:00
LT-00196,NSR-LT-0196,User-123,Dell Latitude 5440,Windows 11 24H2,Operations,Charlotte,Encrypted,Compliant,2026-07-09T04:00
LT-00197,NSR-LT-0197,User-130,HP EliteBook 840 G10,Windows 11 23H2,Sales,Charlotte,Encrypted,Compliant,2026-07-09T05:00
LT-00198,NSR-LT-0198,User-137,HP EliteBook 840 G10,Windows 11 23H2,IT,Remote,Encrypted,Compliant,2026-07-09T06:00
LT-00199,NSR-LT-0199,User-144,Lenovo T14 Gen 4,Windows 11 23H2,IT,Raleigh,Encrypted,Compliant,2026-07-09T07:00
LT-00200,NSR-LT-0200,User-151,Dell Latitude 5440,Windows 11 23H2,Marketing,Raleigh,Encrypted,Noncompliant,2026-07-09T08:00
LT-00201,NSR-LT-0201,User-158,HP EliteBook 840 G10,Windows 11 23H2,HR,Remote,Encrypted,Noncompliant,2026-07-09T09:00
LT-00202,NSR-LT-0202,User-165,Dell Latitude 5440,Windows 11 23H2,Operations,Raleigh,Encrypted,Compliant,2026-07-09T10:00
LT-00203,NSR-LT-0203,User-172,Lenovo T14 Gen 4,Windows 11 24H2,HR,Raleigh,Not Encrypted,Noncompliant,2026-07-09T11:00
LT-00204,NSR-LT-0204,User-179,Dell Latitude 5440,Windows 11 23H2,IT,Charlotte,Encrypted,Compliant,2026-07-09T12:00
LT-00205,NSR-LT-0205,User-186,Lenovo T14 Gen 4,Windows 11 24H2,Operations,Remote,Encrypted,Compliant,2026-07-09T13:00
LT-00206,NSR-LT-0206,User-193,HP EliteBook 840 G10,Windows 11 23H2,Sales,Raleigh,Not Encrypted,Compliant,2026-07-09T14:00
LT-00207,NSR-LT-0207,User-200,HP EliteBook 840 G10,Windows 11 23H2,Sales,Raleigh,Encrypted,Compliant,2026-07-09T15:00
LT-00208,NSR-LT-0208,User-207,HP EliteBook 840 G10,Windows 11 23H2,HR,Remote,Encrypted,Compliant,2026-07-09T16:00
LT-00209,NSR-LT-0209,User-214,HP EliteBook 840 G10,Windows 11 23H2,Operations,Charlotte,Encrypted,Compliant,2026-07-09T17:00
LT-00210,NSR-LT-0210,User-221,Dell Latitude 5440,Windows 11 24H2,Sales,Charlotte,Encrypted,Compliant,2026-07-09T18:00
LT-00211,NSR-LT-0211,User-228,HP EliteBook 840 G10,Windows 11 23H2,Marketing,Raleigh,Not Encrypted,Compliant,2026-07-09T19:00
LT-00212,NSR-LT-0212,User-235,Dell Latitude 5440,Windows 11 23H2,Operations,Charlotte,Encrypted,Noncompliant,2026-07-09T20:00
LT-00213,NSR-LT-0213,User-242,Dell Latitude 5440,Windows 11 24H2,Sales,Raleigh,Encrypted,Compliant,2026-07-09T21:00
LT-00214,NSR-LT-0214,User-249,Dell Latitude 5440,Windows 11 24H2,Marketing,Remote,Not Encrypted,Compliant,2026-07-09T22:00
LT-00215,NSR-LT-0215,User-006,Dell Latitude 5440,Windows 11 24H2,IT,Remote,Encrypted,Compliant,2026-07-09T23:00
LT-00216,NSR-LT-0216,User-013,Lenovo T14 Gen 4,Windows 11 23H2,Operations,Raleigh,Encrypted,Compliant,2026-07-10T00:00
LT-00217,NSR-LT-0217,User-020,Dell Latitude 5440,Windows 11 24H2,Sales,Remote,Encrypted,Compliant,2026-07-10T01:00
LT-00218,NSR-LT-0218,User-027,Dell Latitude 5440,Windows 11 23H2,HR,Raleigh,Encrypted,Noncompliant,2026-07-10T02:00
LT-00219,NSR-LT-0219,User-034,HP EliteBook 840 G10,Windows 11 24H2,Marketing,Charlotte,Encrypted,Compliant,2026-07-10T03:00
LT-00220,NSR-LT-0220,User-041,HP EliteBook 840 G10,Windows 11 23H2,Marketing,Remote,Encrypted,Compliant,2026-07-10T04:00
LT-00221,NSR-LT-0221,User-048,Dell Latitude 5440,Windows 11 23H2,Operations,Remote,Encrypted,Compliant,2026-07-10T05:00
LT-00222,NSR-LT-0222,User-055,Lenovo T14 Gen 4,Windows 11 24H2,Marketing,Raleigh,Encrypted,Compliant,2026-07-10T06:00
LT-00223,NSR-LT-0223,User-062,Dell Latitude 5440,Windows 11 24H2,Finance,Raleigh,Encrypted,Compliant,2026-07-10T07:00
LT-00224,NSR-LT-0224,User-069,Dell Latitude 5440,Windows 11 23H2,Operations,Raleigh,Not Encrypted,Noncompliant,2026-07-10T08:00
LT-00225,NSR-LT-0225,User-076,HP EliteBook 840 G10,Windows 11 23H2,Marketing,Charlotte,Encrypted,Compliant,2026-07-10T09:00
LT-00226,NSR-LT-0226,User-083,Dell Latitude 5440,Windows 11 24H2,Operations,Charlotte,Encrypted,Noncompliant,2026-07-10T10:00
LT-00227,NSR-LT-0227,User-090,HP EliteBook 840 G10,Windows 11 24H2,HR,Raleigh,Encrypted,Noncompliant,2026-07-10T11:00
LT-00228,NSR-LT-0228,User-097,Lenovo T14 Gen 4,Windows 11 24H2,Operations,Remote,Encrypted,Compliant,2026-07-10T12:00
LT-00229,NSR-LT-0229,User-104,Lenovo T14 Gen 4,Windows 11 24H2,Finance,Raleigh,Encrypted,Compliant,2026-07-10T13:00
LT-00230,NSR-LT-0230,User-111,HP EliteBook 840 G10,Windows 11 23H2,Finance,Raleigh,Encrypted,Compliant,2026-07-10T14:00
LT-00231,NSR-LT-0231,User-118,HP EliteBook 840 G10,Windows 11 24H2,Sales,Remote,Not Encrypted,Compliant,2026-07-10T15:00
LT-00232,NSR-LT-0232,User-125,HP EliteBook 840 G10,Windows 11 23H2,Marketing,Raleigh,Not Encrypted,Compliant,2026-07-10T16:00
LT-00233,NSR-LT-0233,User-132,Lenovo T14 Gen 4,Windows 11 23H2,Finance,Remote,Not Encrypted,Compliant,2026-07-10T17:00
LT-00234,NSR-LT-0234,User-139,Lenovo T14 Gen 4,Windows 11 23H2,Finance,Charlotte,Not Encrypted,Compliant,2026-07-10T18:00
LT-00235,NSR-LT-0235,User-146,Dell Latitude 5440,Windows 11 23H2,Sales,Remote,Encrypted,Compliant,2026-07-10T19:00
LT-00236,NSR-LT-0236,User-153,HP EliteBook 840 G10,Windows 11 23H2,IT,Charlotte,Not Encrypted,Compliant,2026-07-10T20:00
LT-00237,NSR-LT-0237,User-160,HP EliteBook 840 G10,Windows 11 24H2,Finance,Remote,Encrypted,Compliant,2026-07-10T21:00
LT-00238,NSR-LT-0238,User-167,HP EliteBook 840 G10,Windows 11 24H2,Marketing,Raleigh,Encrypted,Compliant,2026-07-10T22:00
LT-00239,NSR-LT-0239,User-174,Dell Latitude 5440,Windows 11 23H2,HR,Remote,Not Encrypted,Compliant,2026-07-10T23:00
LT-00240,NSR-LT-0240,User-181,HP EliteBook 840 G10,Windows 11 24H2,Marketing,Raleigh,Encrypted,Compliant,2026-07-11T00:00
LT-00241,NSR-LT-0241,User-188,Lenovo T14 Gen 4,Windows 11 24H2,Sales,Charlotte,Encrypted,Compliant,2026-07-11T01:00
LT-00242,NSR-LT-0242,User-195,HP EliteBook 840 G10,Windows 11 23H2,Marketing,Raleigh,Encrypted,Compliant,2026-07-11T02:00
LT-00243,NSR-LT-0243,User-202,Lenovo T14 Gen 4,Windows 11 24H2,Marketing,Charlotte,Encrypted,Compliant,2026-07-11T03:00
LT-00244,NSR-LT-0244,User-209,Dell Latitude 5440,Windows 11 23H2,Operations,Remote,Encrypted,Compliant,2026-07-11T04:00
LT-00245,NSR-LT-0245,User-216,Dell Latitude 5440,Windows 11 23H2,Sales,Raleigh,Encrypted,Compliant,2026-07-11T05:00
LT-00246,NSR-LT-0246,User-223,Lenovo T14 Gen 4,Windows 11 24H2,HR,Remote,Encrypted,Compliant,2026-07-11T06:00
LT-00247,NSR-LT-0247,User-230,Dell Latitude 5440,Windows 11 24H2,HR,Remote,Not Encrypted,Noncompliant,2026-07-11T07:00
LT-00248,NSR-LT-0248,User-237,HP EliteBook 840 G10,Windows 11 23H2,Sales,Raleigh,Encrypted,Noncompliant,2026-07-11T08:00
LT-00249,NSR-LT-0249,User-244,HP EliteBook 840 G10,Windows 11 24H2,Sales,Remote,Encrypted,Compliant,2026-07-11T09:00
LT-00250,NSR-LT-0250,User-001,HP EliteBook 840 G10,Windows 11 23H2,Finance,Remote,Encrypted,Compliant,2026-07-11T10:00
LT-00251,NSR-LT-0251,User-008,Dell Latitude 5440,Windows 11 23H2,Operations,Remote,Encrypted,Compliant,2026-07-11T11:00
LT-00252,NSR-LT-0252,User-015,Lenovo T14 Gen 4,Windows 11 24H2,Finance,Raleigh,Encrypted,Compliant,2026-07-11T12:00
LT-00253,NSR-LT-0253,User-022,Dell Latitude 5440,Windows 11 24H2,IT,Remote,Encrypted,Compliant,2026-07-11T13:00
LT-00254,NSR-LT-0254,User-029,Lenovo T14 Gen 4,Windows 11 23H2,Sales,Remote,Encrypted,Compliant,2026-07-11T14:00
LT-00255,NSR-LT-0255,User-036,Dell Latitude 5440,Windows 11 23H2,Finance,Remote,Encrypted,Compliant,2026-07-11T15:00
LT-00256,NSR-LT-0256,User-043,Lenovo T14 Gen 4,Windows 11 24H2,IT,Remote,Encrypted,Noncompliant,2026-07-11T16:00
LT-00257,NSR-LT-0257,User-050,Lenovo T14 Gen 4,Windows 11 24H2,Marketing,Raleigh,Not Encrypted,Compliant,2026-07-11T17:00
LT-00258,NSR-LT-0258,User-057,Lenovo T14 Gen 4,Windows 11 24H2,Operations,Raleigh,Encrypted,Compliant,2026-07-11T18:00
LT-00259,NSR-LT-0259,User-064,Dell Latitude 5440,Windows 11 24H2,HR,Raleigh,Not Encrypted,Compliant,2026-07-11T19:00
LT-00260,NSR-LT-0260,User-071,HP EliteBook 840 G10,Windows 11 23H2,Operations,Remote,Encrypted,Compliant,2026-07-11T20:00
LT-00261,NSR-LT-0261,User-078,HP EliteBook 840 G10,Windows 11 23H2,Operations,Remote,Encrypted,Compliant,2026-07-11T21:00
LT-00262,NSR-LT-0262,User-085,Dell Latitude 5440,Windows 11 24H2,Finance,Raleigh,Not Encrypted,Compliant,2026-07-11T22:00
LT-00263,NSR-LT-0263,User-092,Dell Latitude 5440,Windows 11 23H2,Finance,Raleigh,Not Encrypted,Noncompliant,2026-07-11T23:00
LT-00264,NSR-LT-0264,User-099,Dell Latitude 5440,Windows 11 23H2,Operations,Remote,Encrypted,Compliant,2026-07-12T00:00
LT-00265,NSR-LT-0265,User-106,Dell Latitude 5440,Windows 11 24H2,IT,Raleigh,Not Encrypted,Compliant,2026-07-12T01:00
LT-00266,NSR-LT-0266,User-113,HP EliteBook 840 G10,Windows 11 23H2,Finance,Raleigh,Not Encrypted,Compliant,2026-07-12T02:00
LT-00267,NSR-LT-0267,User-120,Dell Latitude 5440,Windows 11 24H2,Finance,Charlotte,Encrypted,Noncompliant,2026-07-12T03:00
LT-00268,NSR-LT-0268,User-127,Lenovo T14 Gen 4,Windows 11 24H2,Operations,Remote,Encrypted,Compliant,2026-07-12T04:00
LT-00269,NSR-LT-0269,User-134,HP EliteBook 840 G10,Windows 11 23H2,Operations,Remote,Encrypted,Noncompliant,2026-07-12T05:00
LT-00270,NSR-LT-0270,User-141,HP EliteBook 840 G10,Windows 11 23H2,HR,Charlotte,Encrypted,Compliant,2026-07-12T06:00
LT-00271,NSR-LT-0271,User-148,Lenovo T14 Gen 4,Windows 11 24H2,Finance,Raleigh,Not Encrypted,Compliant,2026-07-12T07:00
LT-00272,NSR-LT-0272,User-155,Lenovo T14 Gen 4,Windows 11 23H2,Sales,Charlotte,Not Encrypted,Compliant,2026-07-12T08:00
LT-00273,NSR-LT-0273,User-162,HP EliteBook 840 G10,Windows 11 24H2,Sales,Charlotte,Not Encrypted,Compliant,2026-07-12T09:00
LT-00274,NSR-LT-0274,User-169,Dell Latitude 5440,Windows 11 23H2,Sales,Remote,Encrypted,Noncompliant,2026-07-12T10:00
LT-00275,NSR-LT-0275,User-176,Lenovo T14 Gen 4,Windows 11 24H2,Sales,Remote,Encrypted,Compliant,2026-07-12T11:00
LT-00276,NSR-LT-0276,User-183,Lenovo T14 Gen 4,Windows 11 24H2,Sales,Raleigh,Encrypted,Compliant,2026-07-12T12:00
LT-00277,NSR-LT-0277,User-190,Lenovo T14 Gen 4,Windows 11 24H2,Marketing,Remote,Encrypted,Noncompliant,2026-07-12T13:00
LT-00278,NSR-LT-0278,User-197,Dell Latitude 5440,Windows 11 24H2,Operations,Remote,Encrypted,Noncompliant,2026-07-12T14:00
LT-00279,NSR-LT-0279,User-204,Lenovo T14 Gen 4,Windows 11 24H2,Marketing,Remote,Encrypted,Noncompliant,2026-07-12T15:00
LT-00280,NSR-LT-0280,User-211,HP EliteBook 840 G10,Windows 11 23H2,Marketing,Charlotte,Not Encrypted,Compliant,2026-07-12T16:00
LT-00281,NSR-LT-0281,User-218,Lenovo T14 Gen 4,Windows 11 24H2,Sales,Remote,Encrypted,Compliant,2026-07-12T17:00
LT-00282,NSR-LT-0282,User-225,Lenovo T14 Gen 4,Windows 11 23H2,Sales,Charlotte,Not Encrypted,Compliant,2026-07-12T18:00
LT-00283,NSR-LT-0283,User-232,HP EliteBook 840 G10,Windows 11 23H2,HR,Remote,Encrypted,Noncompliant,2026-07-12T19:00
LT-00284,NSR-LT-0284,User-239,Lenovo T14 Gen 4,Windows 11 24H2,Marketing,Remote,Encrypted,Compliant,2026-07-12T20:00
LT-00285,NSR-LT-0285,User-246,Lenovo T14 Gen 4,Windows 11 23H2,IT,Raleigh,Not Encrypted,Noncompliant,2026-07-12T21:00
LT-00286,NSR-LT-0286,User-003,HP EliteBook 840 G10,Windows 11 23H2,HR,Remote,Encrypted,Compliant,2026-07-12T22:00
LT-00287,NSR-LT-0287,User-010,Lenovo T14 Gen 4,Windows 11 24H2,IT,Raleigh,Encrypted,Compliant,2026-07-12T23:00
LT-00288,NSR-LT-0288,User-017,HP EliteBook 840 G10,Windows 11 24H2,Sales,Raleigh,Encrypted,Compliant,2026-07-13T00:00
LT-00289,NSR-LT-0289,User-024,Lenovo T14 Gen 4,Windows 11 24H2,Operations,Raleigh,Encrypted,Compliant,2026-07-13T01:00
LT-00290,NSR-LT-0290,User-031,HP EliteBook 840 G10,Windows 11 23H2,IT,Remote,Not Encrypted,Noncompliant,2026-07-13T02:00
LT-00291,NSR-LT-0291,User-038,HP EliteBook 840 G10,Windows 11 23H2,Operations,Charlotte,Encrypted,Compliant,2026-07-13T03:00
LT-00292,NSR-LT-0292,User-045,HP EliteBook 840 G10,Windows 11 24H2,Marketing,Raleigh,Not Encrypted,Compliant,2026-07-13T04:00
LT-00293,NSR-LT-0293,User-052,Dell Latitude 5440,Windows 11 24H2,IT,Remote,Encrypted,Compliant,2026-07-13T05:00
LT-00294,NSR-LT-0294,User-059,Dell Latitude 5440,Windows 11 23H2,Sales,Charlotte,Encrypted,Compliant,2026-07-13T06:00
LT-00295,NSR-LT-0295,User-066,Dell Latitude 5440,Windows 11 23H2,HR,Raleigh,Not Encrypted,Compliant,2026-07-13T07:00
LT-00296,NSR-LT-0296,User-073,Lenovo T14 Gen 4,Windows 11 23H2,Finance,Remote,Encrypted,Noncompliant,2026-07-13T08:00
LT-00297,NSR-LT-0297,User-080,Lenovo T14 Gen 4,Windows 11 24H2,HR,Remote,Encrypted,Compliant,2026-07-13T09:00
LT-00298,NSR-LT-0298,User-087,HP EliteBook 840 G10,Windows 11 24H2,Marketing,Charlotte,Encrypted,Compliant,2026-07-13T10:00
LT-00299,NSR-LT-0299,User-094,Lenovo T14 Gen 4,Windows 11 23H2,Sales,Raleigh,Encrypted,Compliant,2026-07-13T11:00
LT-00300,NSR-LT-0300,User-101,HP EliteBook 840 G10,Windows 11 24H2,Sales,Remote,Encrypted,Compliant,2026-07-13T12:00
LT-00301,NSR-LT-0301,User-108,Dell Latitude 5440,Windows 11 24H2,IT,Remote,Encrypted,Compliant,2026-07-13T13:00
LT-00302,NSR-LT-0302,User-115,HP EliteBook 840 G10,Windows 11 24H2,Marketing,Remote,Not Encrypted,Compliant,2026-07-13T14:00
LT-00303,NSR-LT-0303,User-122,Lenovo T14 Gen 4,Windows 11 24H2,Operations,Charlotte,Encrypted,Compliant,2026-07-13T15:00
LT-00304,NSR-LT-0304,User-129,Dell Latitude 5440,Windows 11 24H2,Marketing,Raleigh,Encrypted,Compliant,2026-07-13T16:00
LT-00305,NSR-LT-0305,User-136,Lenovo T14 Gen 4,Windows 11 24H2,Operations,Remote,Encrypted,Compliant,2026-07-13T17:00
LT-00306,NSR-LT-0306,User-143,Lenovo T14 Gen 4,Windows 11 24H2,HR,Remote,Encrypted,Compliant,2026-07-13T18:00
LT-00307,NSR-LT-0307,User-150,HP EliteBook 840 G10,Windows 11 23H2,Sales,Charlotte,Not Encrypted,Compliant,2026-07-13T19:00
LT-00308,NSR-LT-0308,User-157,Dell Latitude 5440,Windows 11 23H2,Operations,Raleigh,Encrypted,Noncompliant,2026-07-13T20:00
LT-00309,NSR-LT-0309,User-164,HP EliteBook 840 G10,Windows 11 24H2,Operations,Remote,Encrypted,Compliant,2026-07-13T21:00
LT-00310,NSR-LT-0310,User-171,Lenovo T14 Gen 4,Windows 11 24H2,Marketing,Charlotte,Encrypted,Compliant,2026-07-13T22:00
LT-00311,NSR-LT-0311,User-178,HP EliteBook 840 G10,Windows 11 24H2,Sales,Raleigh,Encrypted,Compliant,2026-07-13T23:00
LT-00312,NSR-LT-0312,User-185,Lenovo T14 Gen 4,Windows 11 24H2,Operations,Remote,Encrypted,Compliant,2026-07-14T00:00
LT-00313,NSR-LT-0313,User-192,Dell Latitude 5440,Windows 11 24H2,Sales,Raleigh,Encrypted,Noncompliant,2026-07-14T01:00
LT-00314,NSR-LT-0314,User-199,Lenovo T14 Gen 4,Windows 11 24H2,IT,Remote,Encrypted,Compliant,2026-07-14T02:00
LT-00315,NSR-LT-0315,User-206,Lenovo T14 Gen 4,Windows 11 23H2,IT,Raleigh,Encrypted,Compliant,2026-07-14T03:00
LT-00316,NSR-LT-0316,User-213,Lenovo T14 Gen 4,Windows 11 23H2,Finance,Remote,Encrypted,Compliant,2026-07-14T04:00
LT-00317,NSR-LT-0317,User-220,Dell Latitude 5440,Windows 11 24H2,IT,Raleigh,Encrypted,Compliant,2026-07-14T05:00
LT-00318,NSR-LT-0318,User-227,Lenovo T14 Gen 4,Windows 11 24H2,Finance,Remote,Not Encrypted,Compliant,2026-07-14T06:00
LT-00319,NSR-LT-0319,User-234,HP EliteBook 840 G10,Windows 11 23H2,IT,Raleigh,Not Encrypted,Compliant,2026-07-14T07:00
LT-00320,NSR-LT-0320,User-241,Lenovo T14 Gen 4,Windows 11 24H2,Marketing,Raleigh,Encrypted,Noncompliant,2026-07-14T08:00
LT-00321,NSR-LT-0321,User-248,HP EliteBook 840 G10,Windows 11 23H2,Marketing,Charlotte,Encrypted,Compliant,2026-07-14T09:00
LT-00322,NSR-LT-0322,User-005,HP EliteBook 840 G10,Windows 11 24H2,Marketing,Charlotte,Encrypted,Compliant,2026-07-14T10:00
LT-00323,NSR-LT-0323,User-012,HP EliteBook 840 G10,Windows 11 23H2,Operations,Raleigh,Encrypted,Compliant,2026-07-14T11:00
LT-00324,NSR-LT-0324,User-019,Lenovo T14 Gen 4,Windows 11 24H2,Operations,Raleigh,Not Encrypted,Noncompliant,2026-07-14T12:00
LT-00325,NSR-LT-0325,User-026,HP EliteBook 840 G10,Windows 11 23H2,Marketing,Remote,Encrypted,Compliant,2026-07-14T13:00
LT-00326,NSR-LT-0326,User-033,Dell Latitude 5440,Windows 11 23H2,IT,Raleigh,Encrypted,Compliant,2026-07-14T14:00
LT-00327,NSR-LT-0327,User-040,Dell Latitude 5440,Windows 11 23H2,Operations,Raleigh,Not Encrypted,Noncompliant,2026-07-14T15:00
LT-00328,NSR-LT-0328,User-047,Dell Latitude 5440,Windows 11 23H2,HR,Raleigh,Encrypted,Compliant,2026-07-14T16:00
LT-00329,NSR-LT-0329,User-054,Dell Latitude 5440,Windows 11 23H2,Finance,Remote,Not Encrypted,Compliant,2026-07-14T17:00
LT-00330,NSR-LT-0330,User-061,Dell Latitude 5440,Windows 11 23H2,Finance,Charlotte,Encrypted,Noncompliant,2026-07-14T18:00
LT-00331,NSR-LT-0331,User-068,Lenovo T14 Gen 4,Windows 11 23H2,Sales,Remote,Encrypted,Noncompliant,2026-07-14T19:00
LT-00332,NSR-LT-0332,User-075,HP EliteBook 840 G10,Windows 11 23H2,IT,Charlotte,Encrypted,Compliant,2026-07-14T20:00
LT-00333,NSR-LT-0333,User-082,Lenovo T14 Gen 4,Windows 11 24H2,Sales,Remote,Encrypted,Compliant,2026-07-14T21:00
LT-00334,NSR-LT-0334,User-089,Dell Latitude 5440,Windows 11 24H2,Sales,Remote,Encrypted,Noncompliant,2026-07-14T22:00
LT-00335,NSR-LT-0335,User-096,HP EliteBook 840 G10,Windows 11 24H2,Finance,Remote,Encrypted,Noncompliant,2026-07-14T23:00
LT-00336,NSR-LT-0336,User-103,Lenovo T14 Gen 4,Windows 11 24H2,Finance,Raleigh,Not Encrypted,Compliant,2026-07-15T00:00
LT-00337,NSR-LT-0337,User-110,Lenovo T14 Gen 4,Windows 11 24H2,HR,Charlotte,Encrypted,Noncompliant,2026-07-15T01:00
LT-00338,NSR-LT-0338,User-117,Dell Latitude 5440,Windows 11 24H2,Sales,Charlotte,Encrypted,Compliant,2026-07-15T02:00
LT-00339,NSR-LT-0339,User-124,HP EliteBook 840 G10,Windows 11 23H2,IT,Raleigh,Not Encrypted,Compliant,2026-07-15T03:00
LT-00340,NSR-LT-0340,User-131,HP EliteBook 840 G10,Windows 11 23H2,Operations,Charlotte,Encrypted,Compliant,2026-07-15T04:00
LT-00341,NSR-LT-0341,User-138,HP EliteBook 840 G10,Windows 11 24H2,Finance,Remote,Encrypted,Compliant,2026-07-15T05:00
LT-00342,NSR-LT-0342,User-145,HP EliteBook 840 G10,Windows 11 24H2,Marketing,Remote,Encrypted,Compliant,2026-07-15T06:00
LT-00343,NSR-LT-0343,User-152,Dell Latitude 5440,Windows 11 23H2,HR,Charlotte,Encrypted,Compliant,2026-07-15T07:00
LT-00344,NSR-LT-0344,User-159,Dell Latitude 5440,Windows 11 23H2,Sales,Remote,Encrypted,Noncompliant,2026-07-15T08:00
LT-00345,NSR-LT-0345,User-166,Dell Latitude 5440,Windows 11 23H2,HR,Charlotte,Encrypted,Compliant,2026-07-15T09:00
LT-00346,NSR-LT-0346,User-173,HP EliteBook 840 G10,Windows 11 24H2,IT,Remote,Encrypted,Compliant,2026-07-15T10:00
LT-00347,NSR-LT-0347,User-180,HP EliteBook 840 G10,Windows 11 24H2,IT,Raleigh,Not Encrypted,Compliant,2026-07-15T11:00
LT-00348,NSR-LT-0348,User-187,Lenovo T14 Gen 4,Windows 11 24H2,Operations,Charlotte,Encrypted,Compliant,2026-07-15T12:00
LT-00349,NSR-LT-0349,User-194,HP EliteBook 840 G10,Windows 11 23H2,IT,Charlotte,Encrypted,Compliant,2026-07-15T13:00
LT-00350,NSR-LT-0350,User-201,HP EliteBook 840 G10,Windows 11 24H2,Operations,Charlotte,Encrypted,Compliant,2026-07-15T14:00
LT-00351,NSR-LT-0351,User-208,Dell Latitude 5440,Windows 11 24H2,IT,Charlotte,Not Encrypted,Compliant,2026-07-15T15:00
LT-00352,NSR-LT-0352,User-215,HP EliteBook 840 G10,Windows 11 24H2,Marketing,Remote,Not Encrypted,Noncompliant,2026-07-15T16:00
LT-00353,NSR-LT-0353,User-222,Dell Latitude 5440,Windows 11 24H2,Sales,Charlotte,Not Encrypted,Compliant,2026-07-15T17:00
LT-00354,NSR-LT-0354,User-229,Lenovo T14 Gen 4,Windows 11 23H2,IT,Charlotte,Encrypted,Compliant,2026-07-15T18:00
LT-00355,NSR-LT-0355,User-236,Dell Latitude 5440,Windows 11 24H2,Sales,Remote,Encrypted,Compliant,2026-07-15T19:00
LT-00356,NSR-LT-0356,User-243,Lenovo T14 Gen 4,Windows 11 23H2,Finance,Charlotte,Not Encrypted,Compliant,2026-07-15T20:00
LT-00357,NSR-LT-0357,User-250,Dell Latitude 5440,Windows 11 24H2,Marketing,Raleigh,Encrypted,Compliant,2026-07-15T21:00
LT-00358,NSR-LT-0358,User-007,Lenovo T14 Gen 4,Windows 11 24H2,Finance,Charlotte,Encrypted,Compliant,2026-07-15T22:00
LT-00359,NSR-LT-0359,User-014,Dell Latitude 5440,Windows 11 24H2,Sales,Charlotte,Encrypted,Compliant,2026-07-15T23:00
LT-00360,NSR-LT-0360,User-021,Dell Latitude 5440,Windows 11 23H2,IT,Remote,Encrypted,Compliant,2026-07-16T00:00
LT-00361,NSR-LT-0361,User-028,HP EliteBook 840 G10,Windows 11 24H2,Finance,Raleigh,Not Encrypted,Noncompliant,2026-07-16T01:00
LT-00362,NSR-LT-0362,User-035,Lenovo T14 Gen 4,Windows 11 23H2,Marketing,Charlotte,Encrypted,Compliant,2026-07-16T02:00
LT-00363,NSR-LT-0363,User-042,Lenovo T14 Gen 4,Windows 11 23H2,Finance,Raleigh,Not Encrypted,Noncompliant,2026-07-16T03:00
LT-00364,NSR-LT-0364,User-049,Lenovo T14 Gen 4,Windows 11 24H2,Finance,Remote,Encrypted,Compliant,2026-07-16T04:00
LT-00365,NSR-LT-0365,User-056,Dell Latitude 5440,Windows 11 24H2,HR,Remote,Encrypted,Compliant,2026-07-16T05:00
LT-00366,NSR-LT-0366,User-063,Lenovo T14 Gen 4,Windows 11 23H2,Sales,Charlotte,Not Encrypted,Compliant,2026-07-16T06:00
LT-00367,NSR-LT-0367,User-070,Dell Latitude 5440,Windows 11 23H2,Marketing,Raleigh,Encrypted,Compliant,2026-07-16T07:00
LT-00368,NSR-LT-0368,User-077,HP EliteBook 840 G10,Windows 11 23H2,Sales,Remote,Encrypted,Noncompliant,2026-07-16T08:00
LT-00369,NSR-LT-0369,User-084,Dell Latitude 5440,Windows 11 24H2,Sales,Remote,Encrypted,Noncompliant,2026-07-16T09:00
LT-00370,NSR-LT-0370,User-091,Lenovo T14 Gen 4,Windows 11 24H2,HR,Remote,Encrypted,Compliant,2026-07-16T10:00
LT-00371,NSR-LT-0371,User-098,Lenovo T14 Gen 4,Windows 11 24H2,Finance,Charlotte,Not Encrypted,Compliant,2026-07-16T11:00
